,children,ra,dec,dist,pmra,pmdec,rv,mag,absmag,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,comp_primary,lum,HE,NEP,CE,CN,CJ,HN,HSE,JUP,SE,WJ,WN,WSE,I,II,III,IV,V,VI,...,:,+,0,1,2,3,4,5,6,7,8,9,A,B,C,E,F,G,K,N,M,RD,S,W,O,D,n,e
846,1.0,0.896803,53.257642000000004,7.0,-1.57,-2.61,0.0,8.51,-0.389,0.033,350.485275,83.833903,482.731058,7.01e-06,-3.04e-06,-4.56e-06,0.23478258939872065,0.9295212022806764,-7.611574784722221e-09,-1.2653637e-08,4205.0,124.62351604865141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,1.0,0.919823,-5.435404,4.0,179.79,-72.8,0.0,9.09,4.3260000000000005,0.625,86.70661199999999,21.292919,-8.495379,-2.155e-05,7.52e-05,-3.151e-05,0.2408089879070173,-0.09486570326314124,8.716465162708334e-07,-3.5294435899999997e-07,4298.0,1.6203170427400004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
848,1.0,0.16739300000000001,-63.296769999999995,4.0,-49.67,-38.68,0.0,8.13,2.9130000000000003,0.456,49.606389,2.175183,-98.712237,-1.733e-05,-2.739e-05,-9.31e-06,0.0438233559391426,-1.1047370408518964,-2.408069551319445e-07,-1.8752593100000002e-07,813.0,5.953878941276853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
849,1.0,1.1786159999999999,-4.842179,5.0,-27.27,6.52,0.0,7.32,2.186,0.391,100.996949,32.19192,-8.979939,4.54e-06,-1.331e-05,3.35e-06,0.3085609391739565,-0.08451196741380375,-1.322086906875e-07,3.1609851000000005e-08,5512.0,11.63054323328467,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
850,1.0,1.36224,9.706002,5.0,20.3,-6.56,0.0,8.08,-0.608,1.493,504.734391,188.04603999999998,92.127127,-1.603e-05,5.141e-05,-1.713e-05,0.35663358415030005,0.16940169471695127,9.841717715277779e-08,-3.1803777e-08,6349.0,152.47547676599154,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
851,1.0,1.4166159999999999,-24.50541,4.0,21.32,21.19,0.0,10.28,4.87,0.405,102.422536,39.828387,-50.094081,2.7e-07,1.35e-05,1.129e-05,0.3708691544199211,-0.4277000830948425,1.0336227669444443e-07,1.0273201800000001e-07,6609.0,0.981747943019984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
852,1.0,1.4623979999999999,62.773421,7.0,6.84,-3.42,-31.0,8.91,2.097,0.2,97.78501,39.380682,204.88548,-1.316e-05,2.94e-06,-2.994e-05,0.3828548391609878,1.0956028789195138,3.316125575e-08,-1.6580627e-08,6806.0,12.624087614670485,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,1.0,1.501909,22.348353,5.0,99.59,23.53,0.0,8.78,2.752,0.8440000000000001,137.128217,56.880742000000005,61.033182,-3.612e-05,6.891e-05,1.693e-05,0.3931989257270141,0.3900523411707663,4.828259444652778e-07,1.1407665899999999e-07,6987.0,6.905577442196836,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
854,1.0,1.21652,30.064228999999997,7.0,21.88,-32.33,36.0,6.24,0.9179999999999999,0.98,95.353078,31.438684999999996,58.1174,3.506e-05,2.452e-05,2.71e-06,0.31848418417579144,0.5247197875227075,1.0607723330555557e-07,-1.5674026199999998e-07,5667.0,37.393834364315154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
855,2.0,1.026201,-6.799532000000001,4.0,23.49,-3.51,0.0,7.22,-0.672,1.618,362.631283,99.83776800000001,-44.846916,-1.219e-05,4.138e-05,-6.4e-06,0.2686588704739187,-0.1186742138984,1.138827335625e-07,-1.701696e-08,4786.0,161.73350557998498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
