1198,K2-321,Flags(),System('K2-321'),NaN,,M,0,V,3855.0 K,0.58 R_s,,0.6 M_s,NaN,[],,,9.796,,10.462,9.567,13.677,,,,77.86 pc,NaN,156d24m15s,2d30m52s,System('K2-321'),[Planet('K2-321 b')],[]
248,GJ 3942,"Flags(timated magU', 'Estimated magL', 'Estimated magM', 'Estimated magB')",System('GJ 3942'),M0,,M,0,V,3867.0 K,0.61 R_s,,0.63 M_s,-0.04,"['HIP 79126', 'Gaia DR2 1428030622526979968', 'TYC 3877-1000-1']",12.91,11.66,6.525,NaN,7.185,6.331,10.25,6.46,6.46,,16.94 pc,NaN,242d15m47.1165s,52d56m37.9584s,System('GJ 3942'),[Planet('GJ 3942 b')],[]
3234,TOI-1235,Flags(),System('TOI-1235'),NaN,,M,0,V,3872.0 K,0.63 R_s,,0.64 M_s,0.05,[],,,8.074,,8.711,7.893,11.495,,,,39.63 pc,NaN,152d13m00s,69d16m36s,System('TOI-1235'),[Planet('TOI-1235 b')],[]
178,EPIC 211822797,"Flags(timated magM', 'Estimated magU', 'Estimated magL', 'Estimated magV', 'Estimated magN', 'Estimated magB')",System('EPIC 211822797'),M0.4,0.79 Gyr,M,0,V,3880.0 K,0.59 R_s,,0.61 M_s,0.14,"['K2-103', '2MASS J08413848+1738240', 'Gaia DR2 658607950370340608']",17.714,16.464,11.699,NaN,12.264,11.432,15.054,11.264,11.264,,187.2 pc,NaN,130d24m37.341s,17d38m24.0846s,System('EPIC 211822797'),[Planet('EPIC 211822797 b')],[]
1209,K2-3,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('K2-3'),M0.0&plusmn;0.5V,,M,0,V,3896.0 K,0.56 R_s,,0.6 M_s,-0.32,['Gaia DR2 3796690380302214272'],14.83,13.52,8.805,NaN,9.421,8.561,12.17,8.38,8.38,,45.0 pc,NaN,172d20m05.8755s,-1d27m17.2798s,System('K2-3'),"[Planet('K2-3 b'), Planet('K2-3 c'), Planet('K2-3 d')]",[]
3077,NGTS-1,Flags(),System('NGTS-1'),NaN,,M,0,V,3916.0 K,0.573 R_s,,0.617 M_s,NaN,"['2MASS J05305145-3637508', 'Gaia DR2 4821739369794767744']",,16.912,12.058,,12.702,11.936,15.524,,,,224.0 pc,NaN,82d42m51.783s,-36d37m50.8965s,System('NGTS-1'),[Planet('NGTS-1 b')],[]
1179,K2-286,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('K2-286'),M0V,,M,0,V,3926.0 K,0.62 R_s,,0.64 M_s,0,['Gaia DR2 6264513270727342080'],15.423,14.12,9.518,11.628,10.127,9.317,12.763,8.973,8.973,,76.32 pc,NaN,233d22m10.413s,-16d46m23.7231s,System('K2-286'),[Planet('K2-286 b')],[]
129,EPIC 201338508,Flags(),System('EPIC 201338508'),NaN,,M,0,V,3930.0 K,0.57 R_s,,0.61 M_s,-0.33,"['K2-5', '2MASS J11171284-0152406', 'Gaia DR2 3791512745687354496']",,16.3,11.76,,12.45,11.6,14.91,,,,181.0 pc,NaN,169d18m12.627s,-1d52m40.6879s,System('EPIC 201338508'),"[Planet('EPIC 201338508 c'), Planet('EPIC 201338508 b')]",[]
3031,LP 714-47,"Flags(timated magM', 'Estimated magU', 'Estimated magL', 'Estimated magV', 'Estimated magN', 'Estimated magB')",System('LP 714-47'),M0.0V,,M,0,V,3950.0 K,0.58 R_s,,0.59 M_s,0.41,['Gaia DR2 3189306030970782208'],14.943,13.693,8.829,NaN,9.493,8.626,12.283,8.493,8.493,,52.7 pc,NaN,64d11m24.0075s,-12d05m02.454s,System('LP 714-47'),[Planet('LP 714-47 b')],[]
3249,TOI-1728,"Flags(timated magU', 'Estimated magL', 'Estimated magM', 'Estimated magB')",System('TOI-1728'),M0,,M,0,V,3980.0 K,0.62 R_s,,0.65 M_s,0.25,[],15.06,13.81,8.953,NaN,9.642,8.803,12.4,8.61,8.61,,60.8 pc,NaN,120d36m45s,64d47m49s,System('TOI-1728'),[Planet('TOI-1728 b')],[]
