,right_ascension,altnames,list,declination,distance,child_stars_binaries,epoch,name,all_children,flags
3008,230d02m08.3818s,,,29d36m58.3488s,82.8 pc,[Star('omi CrB')],,omi CrB,[Star('omi CrB')],Flags()
3009,127d33m58.0596s,,,60d43m05.4115s,54.91 pc,[Star('omi UMa')],,omi UMa,[Star('omi UMa')],Flags()
3010,245d36m15s,,,-24d05m14s,145.0 pc,[Star('Oph 11 A')],,Oph 11,[Star('Oph 11 A')],Flags()
3011,212d02m32.3175s,,,-41d23m52.5766s,113.39 pc,[Star('PDS 70')],,PDS 70,[Star('PDS 70')],Flags()
3012,298d12m45s,,,39d57m18s,1500.0 pc,[Binary('PH-1')],,PH-1,[Binary('PH-1')],Flags()
3013,289d45m45s,,,51d57m45.36s,369.8 pc,[Star('PH-2')],,PH-2,[Star('PH-2')],Flags()
3014,203d36m32.1075s,,,-66d34m52.1239s,1200.0 pc,[Star('POTS-1')],,POTS-1,[Star('POTS-1')],Flags()
3015,130d25m57.2355s,,,20d13m36.755s,178.0 pc,[Star('Pr0201')],,Pr0201,[Star('Pr0201')],Flags()
3016,130d32m52.38s,,,19d16m37.36s,177.0 pc,[Star('Pr0211')],,Pr0211,[Star('Pr0211')],Flags()
3017,265d29m05.3304s,,,72d08m55.8481s,22.93 pc,[Binary('Psi-1 Draconis')],,Psi-1 Draconis,[Binary('Psi-1 Draconis')],Flags()
3018,318d32m00s,,,22d51m36s,24.6 pc,[],,PSO J318.5-22,[],Flags()
3019,195d00m53.6505s,,,12d40m56.4721s,710.0 pc,[Star('PSR 1257+12')],,PSR 1257+12,[Star('PSR 1257+12')],Flags()
3020,53d14m50.193s,,,54d34m45.0479s,504.93 pc,[Star('PSR B0329+54')],,PSR B0329+54,[Star('PSR B0329+54')],Flags()
3021,245d54m33.327s,,,-26d31m53.769s,1800.0 pc,[Binary('B1620-26')],,PSR B1620-26,[Binary('B1620-26')],Flags()
3022,259d47m31.095s,,,-14d38m00.96s,1200.0 pc,[Star('PSR J1719-1438')],,PSR J1719-1438,[Star('PSR J1719-1438')],Flags()
3023,350d38m45s,,,-26d50m58s,230.0 pc,[Star('PSR J2322-2650')],,PSR J2322-2650,[Star('PSR J2322-2650')],Flags()
3024,81d16m53.3445s,,,1d34m24.3492s,330.0 pc,[Star('PTFO 8-8695')],,PTFO 8-8695,[Star('PTFO 8-8695')],Flags()
3025,284d26m45s,,,69d34m15s,539.0 pc,[Star('Qatar-10')],,Qatar-10,[Star('Qatar-10')],Flags()
3026,303d23m00s,,,65d09m43s,186.6 pc,[Star('Qatar-1')],,Qatar-1,[Star('Qatar-1')],Flags()
3027,207d39m15s,,,-6d48m14s,182.3 pc,[Star('Qatar-2')],,Qatar-2,[Star('Qatar-2')],Flags()
3028,359d09m07.2s,,,36d12m46.7s,751.0 pc,[Star('Qatar-3')],,Qatar-3,[Star('Qatar-3')],Flags()
3029,4d51m33.45s,,,44d01m39.5s,332.2 pc,[Star('Qatar-4')],,Qatar-4,[Star('Qatar-4')],Flags()
3030,7d03m14.25s,,,52d03m40s,371.4 pc,[Star('Qatar-5')],,Qatar-5,[Star('Qatar-5')],Flags()
3031,222d12m30s,,,22d09m09s,101.14 pc,[Star('Qatar-6')],,Qatar-6,[Star('Qatar-6')],Flags()
3032,358d31m00s,,,37d01m19s,725.0 pc,[Star('Qatar-7')],,Qatar-7,[Star('Qatar-7')],Flags()
3033,157d24m45s,,,70d31m38s,276.7 pc,[Star('Qatar-8')],,Qatar-8,[Star('Qatar-8')],Flags()
3034,160d45m00s,,,60d57m51s,211.4 pc,[Star('Qatar-9')],,Qatar-9,[Star('Qatar-9')],Flags()
3035,240d15m39.912s,,,33d18m12.6422s,17.24 pc,[Star('Rho Coronae Borealis')],,Rho Coronae Borealis,[Star('Rho Coronae Borealis')],Flags()
3036,176d56m05.961s,,,0d48m16.4049s,3.3807 pc,[Star('Ross 128')],,Ross 128,[Star('Ross 128')],Flags()
3037,195d11m45s,,,12d22m33s,114.0 pc,[Binary('Ross 458 AB')],,Ross 458,[Binary('Ross 458 AB')],Flags()
3038,246d37m00.6s,,,-25d27m24s,137.2 pc,[Star('ROXs 12')],,ROXs 12,[Star('ROXs 12')],Flags()
3039,247d48m45s,,,-24d32m24s,120.0 pc,[Binary('ROXs 42 B')],,ROXs 42 B,[Binary('ROXs 42 B')],Flags()
3040,65d16m30s,,,-48d39m07s,,[Binary('RR Cae')],,RR Cae,[Binary('RR Cae')],Flags()
3041,132d29m07.812s,,,11d41m32.989s,843.0 pc,[Star('SAND364')],,SAND364,[Star('SAND364')],Flags()
3042,132d49m22.251s,,,11d45m22.693s,843.0 pc,[Star('SAND978')],,SAND978,[Star('SAND978')],Flags()
3043,167d32m30s,,,1d16m13s,19.19 pc,[],,SDSS J1110+0116,[],Flags()
3044,24d14m15s,,,9d33m47s,6.0 pc,[],,SIMP0136+0933,[],Flags()
