,right_ascension,altnames,list,declination,distance,child_stars_binaries,epoch,name,all_children,flags
0,185d10m45.3825s,,,17d47m34.3392s,88.9 pc,[Star('11 Com')],,11 Com,[Star('11 Com')],Flags()
1,229d16m28.3348s,,,71d49m26.0466s,122.1 pc,[Star('11 UMi')],,11 UMi,[Star('11 UMi')],Flags()
2,352d49m21.2019s,,,39d14m10.3092s,79.2 pc,[Star('14 And')],,14 And,[Star('14 And')],Flags()
3,242d36m04.728s,,,43d49m03.4987s,18.1 pc,[Star('14 Her')],,14 Her,[Star('14 Her')],Flags()
4,295d27m14.3014s,,,50d31m30.2153s,21.146 pc,[Binary('16 Cygni')],,16 Cygni,[Binary('16 Cygni')],Flags()
5,314d36m29.0095s,,,10d50m21.4289s,75.3 pc,[Star('18 Del')],,18 Del,[Star('18 Del')],Flags()
6,242d22m30s,,,-21d04m58s,145.0 pc,[Star('1RXS1609')],,1RXS1609,[Star('1RXS1609')],Flags()
7,211d56m58.95s,,,-39d45m42.7s,133.0 pc,[Star('1SWASP J1407')],,1SWASP J1407,[Star('1SWASP J1407')],Flags()
8,217d09m27.195s,,,49d50m41.461s,96.25 pc,[Star('24 Boo')],,24 Boo,[Star('24 Boo')],Flags()
9,155d52m05.5395s,,,-0d54m08.0771s,74.8 pc,[Star('24 Sex')],,24 Sex,[Star('24 Sex')],Flags()
10,70d26m24.78s,,,23d01m58.07s,145.0 pc,[Binary('2M0441+2301')],,2M 044144,[Binary('2M0441+2301')],Flags()
11,116d40m38.43s,,,20d00m32.18s,12.21 pc,[Star('2M 0746+20')],,2M 0746+20,[Star('2M 0746+20')],Flags()
12,181d53m22.014s,,,-39d32m54.016s,59.0 pc,[Star('2M1207')],,2M1207,[Star('2M1207')],Flags()
13,294d38m09s,,,46d03m59s,400.8 pc,[Binary('2M 1938+4603')],,2M 1938+4603,[Binary('2M 1938+4603')],Flags()
14,325d07m15s,,,16d25m18s,25.0 pc,[Star('2M 2140+16')],,2M 2140+16,[Star('2M 2140+16')],Flags()
15,331d35m42.03s,,,-20d47m05.9s,26.67 pc,[Star('2M 2206-20')],,2M 2206-20,[Star('2M 2206-20')],Flags()
16,20d42m44.07s,,,-24d39m50.65s,36.0 pc,[Star('2MASS J01225093-2439505 A')],,2MASS 0122-2439,[Star('2MASS J01225093-2439505 A')],Flags()
17,15d54m00s,,,-55d15m56s,47.2 pc,[Star('2MASS J01033563-5515561 A')],,2MASS J01033563-5515561 A,[Star('2MASS J01033563-5515561 A')],Flags()
18,34d50m31.5s,,,-39d25m22.5s,39.4 pc,[Star('2MASS J0219-3925')],,2MASS J0219-3925,[Star('2MASS J0219-3925')],Flags()
19,42d29m05.8274s,,,-5d57m35.4108s,48.9 pc,[Binary('2MASS J02495639-0557352')],,2MASS J02495639-0557352,[Binary('2MASS J02495639-0557352')],Flags()
20,339d06m07.881s,,,47d51m42.5312s,74.0 pc,[Star('2MASS J22362452+4751425')],,2MASS J22362452+4751425,[Star('2MASS J22362452+4751425')],Flags()
21,39d15m07.8544s,,,24d38m49.9957s,45.2 pc,[Binary('30 Ari')],,30 Ari,[Binary('30 Ari')],Flags()
22,193d17m47.346s,,,-3d33m11.1481s,33.3 pc,[Star('38 Vir')],,38 Vir,[Star('38 Vir')],Flags()
23,276d29m47.0601s,,,65d33m48.5288s,96.5 pc,[Star('42 Dra')],,42 Dra,[Star('42 Dra')],Flags()
24,164d51m59.5923s,,,40d25m48.9202s,14.063 pc,[Star('47 UMa')],,47 UMa,[Star('47 UMa')],Flags()
25,130d03m12.265s,,,64d19m40.57s,78.5 pc,[Star('4 UMa')],,4 UMa,[Star('4 UMa')],Flags()
26,69d24m01.9851s,,,-2d28m24.7749s,29.4 pc,[Binary('WDS J04376-0228')],,51 Eri,[Binary('WDS J04376-0228')],Flags()
27,344d21m59.706s,,,20d46m07.7822s,14.7 pc,[Star('51 Peg')],,51 Peg,[Star('51 Peg')],Flags()
28,133d08m57.1699s,,,28d19m50.9569s,12.5901 pc,[Binary('55 Cancri')],,55 Cancri,[Binary('55 Cancri')],Flags()
29,199d36m04.714s,,,-18d18m40.3047s,8.52 pc,[Star('61 Vir')],,61 Vir,[Star('61 Vir')],Flags()
30,97d41m46.6195s,,,58d09m45.4809s,55.8 pc,[Star('6 Lyn')],,6 Lyn,[Star('6 Lyn')],Flags()
31,202d06m27.1291s,,,13d46m43.6386s,18.1 pc,[Star('70 Vir')],,70 Vir,[Star('70 Vir')],Flags()
32,38d02m21.33s,,,-1d02m05.6236s,81.4 pc,[Star('75 Cet')],,75 Cet,[Star('75 Cet')],Flags()
33,99d10m15.5625s,,,-19d15m21.1659s,19.75 pc,[Star('7 CMa')],,7 CMa,[Star('7 CMa')],Flags()
34,39d25m42.0157s,,,-3d23m46.2201s,92.5 pc,[Star('81 Cet')],,81 Cet,[Star('81 Cet')],Flags()
35,171d41m19.827s,,,3d00m47.1551s,17.79 pc,[Binary('83 Leonis')],,83 Leonis,[Binary('83 Leonis')],Flags()
36,224d12m05.304s,,,74d54m03.3212s,159.1 pc,[Star('8 Ursae Minoris')],,8 Ursae Minoris,[Star('8 Ursae Minoris')],Flags()
37,348d58m22.4223s,,,-9d05m15.8546s,45.93 pc,[Binary('91 Aquarii')],,91 Aquarii,[Binary('91 Aquarii')],Flags()
38,94d48m13.6935s,,,-58d03m15.5248s,45.5 pc,[Star('AB Pic')],,AB Pic,[Star('AB Pic')],Flags()
39,31d47m36.0855s,,,23d27m44.7032s,20.18 pc,[Star('alf Ari')],,alf Ari,[Star('alf Ari')],Flags()
40,68d58m48s,,,16d30m35.1s,20.43 pc,[Binary('alf Tau AB')],,alf Tau,[Binary('alf Tau AB')],Flags()
41,219d54m03.06s,,,-60d50m08.23s,1.295 pc,[Binary('Alpha Centauri')],,Alpha Centauri,[Binary('Alpha Centauri')],Flags()
42,311d17m22.9845s,,,-31d20m27.2417s,9.79 pc,[Star('AU Mic')],,AU Mic,[Star('AU Mic')],Flags()
43,261d29m00s,,,2d05m27s,292.8 pc,[Star('BD+02.3313')],,BD+02.3313,[Star('BD+02.3313')],Flags()
44,177d33m53.289s,,,2d45m36.4417s,1106.9 pc,[Star('BD+03 2562')],,BD+03 2562,[Star('BD+03 2562')],Flags()
45,150d11m55.8052s,,,-9d31m00.034s,42.5 pc,[Star('BD-08 2823')],,BD-08 2823,[Star('BD-08 2823')],Flags()
46,164d37m11.697s,,,-10d46m13.3917s,65.19 pc,[Star('BD-10 3166')],,BD-10 3166,[Star('BD-10 3166')],Flags()
47,278d22m12.483s,,,-11d38m09.7218s,27.3 pc,[Star('BD-11 4672')],,BD-11 4672,[Star('BD-11 4672')],Flags()
48,318d23m59.8714s,,,14d41m21.7994s,48.36 pc,[Star('BD+14 4559')],,BD+14 4559,[Star('BD+14 4559')],Flags()
49,176d28m55.707s,,,14d36m58.9267s,610.0 pc,[Star('BD+15 2375')],,BD+15 2375,[Star('BD+15 2375')],Flags()
50,240d05m44.074s,,,15d32m48.9291s,508.0 pc,[Star('BD+15 2940')],,BD+15 2940,[Star('BD+15 2940')],Flags()
51,7d08m34.5981s,,,-16d13m34.8458s,35.7 pc,[Star('BD-17 63')],,BD-17 63,[Star('BD-17 63')],Flags()
52,110d55m53.838s,,,20d24m58.6545s,25.4 pc,[Star('BD+20 1790')],,BD+20 1790,[Star('BD+20 1790')],Flags()
53,154d11m12.9525s,,,19d53m29.0096s,,[Star('BD+20 2457')],,BD+20 2457,[Star('BD+20 2457')],Flags()
54,25d55m13.14s,,,21d00m19.0277s,1383.9 pc,[Star('BD+20 274')],,BD+20 274,[Star('BD+20 274')],Flags()
55,53d39m03.444s,,,20d35m57.2697s,173.0 pc,[Star('BD+20 594')],,BD+20 594,[Star('BD+20 594')],Flags()
56,135d37m39.6285s,,,25d53m21.9299s,41.2 pc,[Star('BD+26 1888')],,BD+26 1888,[Star('BD+26 1888')],Flags()
57,40d42m36.9645s,,,49d35m13.0796s,892.1 pc,[Star('BD+48 738')],,BD+48 738,[Star('BD+48 738')],Flags()
58,40d44m33.273s,,,48d55m48.2258s,678.94 pc,[Star('BD+48 740')],,BD+48 740,[Star('BD+48 740')],Flags()
59,45d38m26.043s,,,49d43m47.9632s,447.6 pc,[Star('BD+49 828')],,BD+49 828,[Star('BD+49 828')],Flags()
60,124d07m43.8152s,,,9d11m07.9579s,93.0 pc,[Star('beta Cancri')],,beta Cancri,[Star('beta Cancri')],Flags()
61,86d49m16.314s,,,-51d03m59.4411s,19.75 pc,[Star('beta Pic')],,beta Pic,[Star('beta Pic')],Flags()
62,222d40m34.887s,,,74d09m19.8142s,40.14 pc,[Star('beta Ursae Minoris')],,beta Ursae Minoris,[Star('beta Ursae Minoris')],Flags()
63,224d37m15s,,,10d13m43s,23.1 pc,[Star('CFBDS 1458')],,CFBDS 1458,[Star('CFBDS 1458')],Flags()
64,327d26m45s,,,-4d03m08s,40.0 pc,[],,CFBDSIR2149,[],Flags()
65,166d37m11.439s,,,-77d37m33.1444s,191.048 pc,[Star('CHXR 73')],,CHXR 73,[Star('CHXR 73')],Flags()
66,68d28m00.216s,,,22d50m30.0937s,158.7 pc,[Star('CI Tau')],,CI Tau,[Star('CI Tau')],Flags()
67,291d03m49.302s,,,0d44m46.0039s,345.0 pc,[Star('CoRoT-10')],,CoRoT-10,[Star('CoRoT-10')],Flags()
68,280d41m14.2485s,,,5d56m15.6521s,560.0 pc,[Star('CoRoT-11')],,CoRoT-11,[Star('CoRoT-11')],Flags()
69,100d45m56.4465s,,,-1d17m47.1435s,1150.0 pc,[Star('CoRoT-12')],,CoRoT-12,[Star('CoRoT-12')],Flags()
70,102d43m16.089s,,,-5d05m11.1901s,1310.0 pc,[Star('CoRoT-13')],,CoRoT-13,[Star('CoRoT-13')],Flags()
71,103d25m27.129s,,,-5d32m09.6828s,1340.0 pc,[Star('CoRoT-14')],,CoRoT-14,[Star('CoRoT-14')],Flags()
72,278d31m28.782s,,,-6d00m09.2447s,840.0 pc,[Star('CoRoT-16')],,CoRoT-16,[Star('CoRoT-16')],Flags()
73,278d41m57.3195s,,,-6d36m44.1119s,920.0 pc,[Star('CoRoT-17')],,CoRoT-17,[Star('CoRoT-17')],Flags()
74,98d10m20.6655s,,,-0d01m53.7256s,870.0 pc,[Star('CoRoT-18')],,CoRoT-18,[Star('CoRoT-18')],Flags()
75,97d02m00.879s,,,-0d10m14.5323s,800.0 pc,[Star('CoRoT-19')],,CoRoT-19,[Star('CoRoT-19')],Flags()
76,102d04m47.586s,,,-3d06m07.7104s,460.0 pc,[Star('CoRoT-1')],,CoRoT-1,[Star('CoRoT-1')],Flags()
77,97d43m13.5336s,,,0d13m36.8585s,864.0 pc,[Star('CoRoT-20')],,CoRoT-20,[Star('CoRoT-20')],Flags()
78,101d03m09.453s,,,-0d17m56.987s,1398.8 pc,[Star('CoRoT-21')],,CoRoT-21,[Star('CoRoT-21')],Flags()
79,280d40m01.6695s,,,6d13m08.9834s,592.0 pc,[Star('CoRoT-22')],,CoRoT-22,[Star('CoRoT-22')],Flags()
80,279d46m57.6075s,,,4d21m28.0346s,600.0 pc,[Star('CoRoT-23')],,CoRoT-23,[Star('CoRoT-23')],Flags()
81,101d55m21.174s,,,-3d43m09.4837s,600.0 pc,[Star('CoRoT-24')],,CoRoT-24,[Star('CoRoT-24')],Flags()
82,280d37m46.8s,,,6d30m49.7463s,1000.0 pc,[Star('CoRoT-25')],,CoRoT-25,[Star('CoRoT-25')],Flags()
83,279d45m01.7775s,,,6d58m11.3304s,1670.0 pc,[Star('CoRoT-26')],,CoRoT-26,[Star('CoRoT-26')],Flags()
84,278d29m44.9895s,,,5d32m18.3232s,1035.2 pc,[Star('CoRoT-27')],,CoRoT-27,[Star('CoRoT-27')],Flags()
85,278d41m18.0495s,,,5d34m25.3913s,560.0 pc,[Star('CoRoT-28')],,CoRoT-28,[Star('CoRoT-28')],Flags()
86,278d54m07.506s,,,6d28m46.6756s,765.0 pc,[Star('CoRoT-29')],,CoRoT-29,[Star('CoRoT-29')],Flags()
87,291d46m37.416s,,,1d23m01.3575s,300.0 pc,[Star('CoRoT-2')],,CoRoT-2,[Star('CoRoT-2')],Flags()
88,277d36m04.2555s,,,6d50m09.3654s,960.0 pc,[Star('CoRoT-30')],,CoRoT-30,[Star('CoRoT-30')],Flags()
89,94d49m14.5995s,,,-4d25m20.1611s,2190.0 pc,[Star('CoRoT-31')],,CoRoT-31,[Star('CoRoT-31')],Flags()
90,292d03m18.963s,,,0d07m18.6143s,680.0 pc,[Star('CoRoT-3')],,CoRoT-3,[Star('CoRoT-3')],Flags()
91,102d11m40.6995s,,,-0d40m21.9695s,741.6 pc,[Star('CoRoT-4')],,CoRoT-4,[Star('CoRoT-4')],Flags()
92,101d16m38.109s,,,0d48m54.9068s,400.0 pc,[Star('CoRoT-5')],,CoRoT-5,[Star('CoRoT-5')],Flags()
93,281d04m21.1155s,,,6d39m47.5138s,657.2 pc,[Star('CoRoT-6')],,CoRoT-6,[Star('CoRoT-6')],Flags()
94,100d57m22.035s,,,-1d03m46.8257s,150.0 pc,[Star('CoRoT-7')],,CoRoT-7,[Star('CoRoT-7')],Flags()
95,291d35m18.639s,,,1d25m35.1781s,380.0 pc,[Star('CoRoT-8')],,CoRoT-8,[Star('CoRoT-8')],Flags()
96,280d47m12.1515s,,,6d12m14.9129s,460.0 pc,[Star('CoRoT-9')],,CoRoT-9,[Star('CoRoT-9')],Flags()
97,100d11m45s,,,9d15m27s,586.2 pc,[Star('CoRoTID 223977153')],,CoRoTID 223977153,[Star('CoRoTID 223977153')],Flags()
98,166d02m16.4835s,,,-76d27m19.3269s,165.0 pc,[Star('CT Cha')],,CT Cha,[Star('CT Cha')],Flags()
99,201d43m19.071s,,,45d32m46.687s,30.55 pc,[Star('DE CVn')],,DE CVn,[Star('DE CVn')],Flags()
100,67d25m23.28s,,,26d32m58.1237s,140.01 pc,[Star('DH Tau')],,DH Tau,[Star('DH Tau')],Flags()
101,86d46m34.0005s,,,-10d37m48.8282s,62.0 pc,[Star('DMPP-1')],,DMPP-1,[Star('DMPP-1')],Flags()
102,27d24m28.3455s,,,-34d27m32.8726s,134.0 pc,[Star('DMPP-2')],,DMPP-2,[Star('DMPP-2')],Flags()
103,91d37m30s,,,-72d30m46s,48.9 pc,[Star('DMPP-3 A')],,DMPP-3 A,[Star('DMPP-3 A')],Flags()
104,169d19m00s,,,17d57m41s,400.0 pc,[Binary('DP Leo')],,DP Leo,[Binary('DP Leo')],Flags()
105,354d54m45s,,,-69d11m45s,44.12 pc,[Star('DS Tuc A')],,DS Tuc A,[Star('DS Tuc A')],Flags()
106,170d08m27.081s,,,-4d48m25.214s,134.0 pc,[Star('EPIC 201170410')],,EPIC 201170410,[Star('EPIC 201170410')],Flags()
107,174d44m44.295s,,,-3d54m20.11s,233.4 pc,[Binary('EPIC 201208431')],,EPIC 201208431,[Binary('EPIC 201208431')],Flags()
108,179d42m21.4605s,,,-3d23m21.8679s,159.98 pc,[Star('EPIC 201238110')],,EPIC 201238110,[Star('EPIC 201238110')],Flags()
109,174d00m41.8785s,,,-2d31m15.1678s,331.0 pc,[Star('EPIC 201295312')],,EPIC 201295312,[Star('EPIC 201295312')],Flags()
110,169d18m12.627s,,,-1d52m40.6879s,181.0 pc,[Star('EPIC 201338508')],,EPIC 201338508,[Star('EPIC 201338508')],Flags()
111,178d11m32.13s,,,-1d11m54.52s,343.0 pc,[Binary('EPIC 201384232')],,EPIC 201384232,[Binary('EPIC 201384232')],Flags()
112,167d05m37.5675s,,,-1d03m56.7108s,433.0 pc,[Star('EPIC 201393098')],,EPIC 201393098,[Star('EPIC 201393098')],Flags()
113,174d15m58.845s,,,-0d54m26.14s,362.0 pc,[Binary('EPIC 201403446')],,EPIC 201403446,[Binary('EPIC 201403446')],Flags()
114,169d47m37.2225s,,,-0d17m03.7334s,405.0 pc,[Star('EPIC 201445392')],,EPIC 201445392,[Star('EPIC 201445392')],Flags()
115,176d15m52.0515s,,,0d00m19.0578s,110.0 pc,[Star('EPIC 201465501')],,EPIC 201465501,[Star('EPIC 201465501')],Flags()
116,168d56m11.8695s,,,0d29m17.2049s,254.88 pc,[Star('EPIC 201497682')],,EPIC 201497682,[Star('EPIC 201497682')],Flags()
117,174d57m37.206s,,,0d36m12.8773s,291.0 pc,[Star('EPIC 201505350')],,EPIC 201505350,[Star('EPIC 201505350')],Flags()
118,171d30m54.621s,,,1d13m50.6635s,251.0 pc,[Star('EPIC 201546283')],,EPIC 201546283,[Star('EPIC 201546283')],Flags()
119,170d06m11.085s,,,1d17m09.44s,249.0 pc,[Binary('EPIC 201549860')],,EPIC 201549860,[Binary('EPIC 201549860')],Flags()
120,176d59m31.893s,,,1d30m36.9786s,506.0 pc,[Star('EPIC 201565013')],,EPIC 201565013,[Star('EPIC 201565013')],Flags()
121,172d07m19.056s,,,1d41m26.277s,271.0 pc,[Star('EPIC 201577035')],,EPIC 201577035,[Star('EPIC 201577035')],Flags()
122,169d02m31.2105s,,,1d59m12.6325s,332.5 pc,[Star('EPIC 201596316')],,EPIC 201596316,[Star('EPIC 201596316')],Flags()
123,173d11m31.392s,,,2d14m41.5879s,294.0 pc,[Star('EPIC 201613023')],,EPIC 201613023,[Star('EPIC 201613023')],Flags()
124,179d29m29.979s,,,2d19m17.3034s,111.0 pc,[Star('EPIC 201617985')],,EPIC 201617985,[Star('EPIC 201617985')],Flags()
125,170d09m19.905s,,,2d30m09.71s,290.0 pc,[Binary('EPIC 201629650')],,EPIC 201629650,[Binary('EPIC 201629650')],Flags()
126,178d03m25.356s,,,2d35m39.2372s,219.0 pc,[Star('EPIC 201635569')],,EPIC 201635569,[Star('EPIC 201635569')],Flags()
127,169d28m57.84s,,,2d37m06.79s,225.0 pc,[Binary('EPIC 201637175')],,EPIC 201637175,[Binary('EPIC 201637175')],Flags()
128,175d14m26.865s,,,3d40m53.7s,673.0 pc,[Binary('EPIC 201702477')],,EPIC 201702477,[Binary('EPIC 201702477')],Flags()
129,178d06m38.8305s,,,4d15m17.1235s,437.0 pc,[Star('EPIC 201736247')],,EPIC 201736247,[Star('EPIC 201736247')],Flags()
130,173d56m18.6075s,,,4d36m59.2103s,577.6 pc,[Star('EPIC 201757695')],,EPIC 201757695,[Star('EPIC 201757695')],Flags()
131,175d39m15.63s,,,5d53m39.56s,146.0 pc,[Binary('EPIC 201828749')],,EPIC 201828749,[Binary('EPIC 201828749')],Flags()
132,175d12m24.3675s,,,6d08m05.4394s,441.94 pc,[Star('EPIC 201841433')],,EPIC 201841433,[Star('EPIC 201841433')],Flags()
133,178d19m47.2035s,,,6d24m44.1066s,134.0 pc,[Star('EPIC 201855371')],,EPIC 201855371,[Star('EPIC 201855371')],Flags()
134,172d33m37.764s,,,7d35m18.2572s,34.0 pc,[Star('EPIC 201912552')],,EPIC 201912552,[Star('EPIC 201912552')],Flags()
135,240d58m35.1075s,,,-26d33m13.4138s,437.0 pc,[Star('EPIC 203311200')],,EPIC 203311200,[Star('EPIC 203311200')],Flags()
136,242d34m25.4655s,,,-24d59m25.2589s,181.0 pc,[Star('EPIC 203771098')],,EPIC 203771098,[Star('EPIC 203771098')],Flags()
137,243d27m03.666s,,,-24d47m13.4278s,1768.0 pc,[Star('EPIC 203826436')],,EPIC 203826436,[Star('EPIC 203826436')],Flags()
138,245d26m26.67s,,,-23d32m52.2897s,110.9 pc,[Star('EPIC 204129699')],,EPIC 204129699,[Star('EPIC 204129699')],Flags()
139,240d02m00.8745s,,,-23d11m21.3272s,193.7 pc,[Star('EPIC 204221263')],,EPIC 204221263,[Star('EPIC 204221263')],Flags()
140,242d33m41.067s,,,-19d19m09.4072s,145.0 pc,[Star('EPIC 205117205')],,EPIC 205117205,[Star('EPIC 205117205')],Flags()
141,340d18m13.2915s,,,-14d29m20.349s,65.0 pc,[Star('EPIC 206011691')],,EPIC 206011691,[Star('EPIC 206011691')],Flags()
142,331d16m38.0115s,,,-14d07m18.0134s,373.81 pc,[Star('EPIC 206024342')],,EPIC 206024342,[Star('EPIC 206024342')],Flags()
143,341d14m26.697s,,,-13d54m03.2712s,162.09 pc,[Star('EPIC 206032309')],,EPIC 206032309,[Star('EPIC 206032309')],Flags()
144,337d30m48.9135s,,,-13d36m36.4158s,457.27 pc,[Star('EPIC 206042996')],,EPIC 206042996,[Star('EPIC 206042996')],Flags()
145,335d05m41.646s,,,-9d30m34.2934s,110.22 pc,[Star('EPIC 206215704')],,EPIC 206215704,[Star('EPIC 206215704')],Flags()
146,337d37m03.339s,,,-7d58m20.6494s,317.2 pc,[Star('EPIC 206317286')],,EPIC 206317286,[Star('EPIC 206317286')],Flags()
147,335d37m27.9165s,,,-7d57m19.8535s,63.1 pc,[Star('EPIC 206318379')],,EPIC 206318379,[Star('EPIC 206318379')],Flags()
148,55d13m42.3165s,,,12d34m21.4002s,125.0 pc,[Star('EPIC 210363145')],,EPIC 210363145,[Star('EPIC 210363145')],Flags()
149,63d16m24.201s,,,15d14m52.0138s,45.7 pc,[Star('EPIC 210490365')],,EPIC 210490365,[Star('EPIC 210490365')],Flags()
150,62d40m13.239s,,,24d24m06.3018s,179.4 pc,[Star('EPIC 211089792')],,EPIC 211089792,[Star('EPIC 211089792')],Flags()
151,126d29m17.8125s,,,11d30m40.0834s,435.0 pc,[Star('EPIC 211391664')],,EPIC 211391664,[Star('EPIC 211391664')],Flags()
152,130d24m37.341s,,,17d38m24.0846s,187.2 pc,[Star('EPIC 211822797')],,EPIC 211822797,[Star('EPIC 211822797')],Flags()
153,130d23m55.371s,,,18d44m34.9793s,181.5 pc,[Star('EPIC 211901114')],,EPIC 211901114,[Star('EPIC 211901114')],Flags()
154,130d20m38.6745s,,,18d56m01.949s,181.5 pc,[Star('EPIC 211913977')],,EPIC 211913977,[Star('EPIC 211913977')],Flags()
155,129d21m45.8445s,,,18d58m36.0229s,181.5 pc,[Star('EPIC 211916756')],,EPIC 211916756,[Star('EPIC 211916756')],Flags()
156,136d34m26.3475s,,,19d24m08.0512s,182.69 pc,[Star('EPIC 211945201')],,EPIC 211945201,[Star('EPIC 211945201')],Flags()
157,129d38m12.54s,,,19d46m25.5913s,181.5 pc,[Star('EPIC 211969807')],,EPIC 211969807,[Star('EPIC 211969807')],Flags()
158,130d03m21.798s,,,19d46m43.7121s,181.5 pc,[Star('EPIC 211970147')],,EPIC 211970147,[Star('EPIC 211970147')],Flags()
159,129d36m04.506s,,,20d06m21.8283s,181.5 pc,[Star('EPIC 211990866')],,EPIC 211990866,[Star('EPIC 211990866')],Flags()
160,207d12m22.422s,,,-17d36m35.6309s,423.35 pc,[Star('EPIC 212297394')],,EPIC 212297394,[Star('EPIC 212297394')],Flags()
161,202d19m53.1495s,,,-14d21m34.023s,622.67 pc,[Star('EPIC 212424622')],,EPIC 212424622,[Star('EPIC 212424622')],Flags()
162,202d29m19.575s,,,-12d44m05.0721s,285.61 pc,[Star('EPIC 212499991')],,EPIC 212499991,[Star('EPIC 212499991')],Flags()
163,205d26m40.476s,,,-10d51m44.7891s,322.88 pc,[Star('EPIC 212587672')],,EPIC 212587672,[Star('EPIC 212587672')],Flags()
164,204d13m18.1455s,,,-7d19m05.3513s,347.45 pc,[Star('EPIC 212737443')],,EPIC 212737443,[Star('EPIC 212737443')],Flags()
165,208d46m25.5495s,,,-5d26m32.9487s,604.0 pc,[Star('EPIC 212803289')],,EPIC 212803289,[Star('EPIC 212803289')],Flags()
166,284d59m07.3815s,,,-22d17m36.2448s,698.1 pc,[Star('EPIC 216468514')],,EPIC 216468514,[Star('EPIC 216468514')],Flags()
167,289d03m59.5365s,,,-17d54m38.4105s,152.0 pc,[Star('EPIC 218916923')],,EPIC 218916923,[Star('EPIC 218916923')],Flags()
168,19d26m57.459s,,,6d42m08s,553.4 pc,[Star('EPIC 220504338')],,EPIC 220504338,[Star('EPIC 220504338')],Flags()
169,13d04m47.124s,,,10d47m40.9037s,257.2 pc,[Star('EPIC 220674823')],,EPIC 220674823,[Star('EPIC 220674823')],Flags()
170,188d08m14.448s,,,-9d36m27.4958s,340.24 pc,[Star('EPIC 228735255')],,EPIC 228735255,[Star('EPIC 228735255')],Flags()
171,182d09m59.0025s,,,-8d44m49.8466s,620.42 pc,[Star('EPIC 228754001')],,EPIC 228754001,[Star('EPIC 228754001')],Flags()
172,186d52m14.7735s,,,-6d11m42.8295s,95.0 pc,[Star('EPIC 228813918')],,EPIC 228813918,[Star('EPIC 228813918')],Flags()
173,351d08m00s,,,-5d09m51s,230.36 pc,[Star('EPIC 246193072')],,EPIC 246193072,[Star('EPIC 246193072')],Flags()
174,78d55m11.3055s,,,16d16m43.5181s,336.7 pc,[Star('EPIC 246851721')],,EPIC 246851721,[Star('EPIC 246851721')],Flags()
175,159d23m21.303s,,,11d50m33.8754s,560.0 pc,[Star('EPIC 248847494')],,EPIC 248847494,[Star('EPIC 248847494')],Flags()
176,228d14m53.427s,,,-16d43m28.199s,324.22 pc,[Star('EPIC 249893012')],,EPIC 249893012,[Star('EPIC 249893012')],Flags()
177,239d23m48.772s,,,26d52m40.3635s,67.9 pc,[Binary('WDS J15576+2653')],,eps Coronae Borealis,[Binary('WDS J15576+2653')],Flags()
178,53d13m57.6744s,,,-9d27m29.7312s,3.2161 pc,[Star('eps Eridani')],,eps Eridani,[Star('eps Eridani')],Flags()
179,330d50m24.8134s,,,-56d47m09.537s,3.6389 pc,[Binary('Epsilon Indi')],,Epsilon Indi,[Binary('Epsilon Indi')],Flags()
180,67d09m14.9823s,,,19d10m49.5446s,44.96 pc,[Star('eps Tau')],,eps Tau,[Star('eps Tau')],Flags()
181,17d08m50.8722s,,,-10d10m56.157s,37.99 pc,[Star('eta Cet')],,eta Cet,[Star('eta Cet')],Flags()
182,288d01m12.9255s,,,46d19m26.8632s,130.0 pc,[Binary('FL Lyr')],,FL Lyr,[Binary('FL Lyr')],Flags()
183,287d35m33.8085s,,,42d27m31.6257s,3000.0 pc,[Star('FN Lyr')],,FN Lyr,[Star('FN Lyr')],Flags()
184,344d24m45s,,,-29d37m20s,7.704 pc,[Binary('MAM 1')],,Fomalhaut,[Binary('MAM 1')],Flags()
185,65d53m50.868s,,,25d03m02.7418s,140.0 pc,[Star('FU Tau A')],,FU Tau,[Star('FU Tau A')],Flags()
186,67d22m30s,,,26d16m53s,145.0 pc,[Binary('FW Tau')],,FW Tau,[Binary('FW Tau')],Flags()
187,134d43m00s,,,21d04m34s,27.93 pc,[Star('G 9-40')],,G 9-40,[Star('G 9-40')],Flags()
188,354d50m12.7729s,,,77d37m56.1876s,13.523 pc,[Binary('gamma Cephei')],,gamma Cephei,[Binary('gamma Cephei')],Flags()
189,154d59m36.405s,,,19d50m28.53s,38.5 pc,[Binary('Gamma Leonis')],,Gamma Leonis,[Binary('Gamma Leonis')],Flags()
190,233d52m53.682s,,,-14d47m22.3278s,47.43 pc,[Star('gamma Libra')],,gamma Libra,[Star('gamma Libra')],Flags()
191,43d15m13.3695s,,,16d52m52.642s,3.83 pc,[Star('GAT 1370')],,GAT 1370,[Star('GAT 1370')],Flags()
192,53d59m55.494s,,,-44d30m45.7252s,3.67 pc,[Star('GJ 1061')],,GJ 1061,[Star('GJ 1061')],Flags()
193,153d42m56.6745s,,,-47d09m24.1897s,12.62 pc,[Star('GJ 1132')],,GJ 1132,[Star('GJ 1132')],Flags()
194,306d55m31.2195s,,,-56d27m25.1566s,20.38 pc,[Star('GJ 1252')],,GJ 1252,[Star('GJ 1252')],Flags()
195,333d25m42.942s,,,-17d41m08.6764s,10.26 pc,[Star('GJ 1265')],,GJ 1265,[Star('GJ 1265')],Flags()
196,51d44m48.342s,,,-63d29m56.7618s,16.33 pc,[Star('GJ 143')],,GJ 143,[Star('GJ 143')],Flags()
