,alt_names,flags,system,names,list,separation,position_angle,mass,magUltraviolet,magBlue,magH_nearinf,magInfared,magJ_nearinf,magK_nearinf,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,inclination,parent_obj,child_obj,stars,period,semi_major_axis,eccentricity,longitude,ascending_node
34,"['Gamma Cephei', 'gam Cep', 'γ Cep', 'γ Cephei', '35 Cep', '35 Cephei', 'Errai', 'Alrai', 'Gliese 903', 'GJ 903', 'HR 8974', 'HD 222404', 'HIP 116727', 'TYC 4606-3584-1', 'BD+76 928', '2MASS J23392083+7737563', 'WDS J23393+7738', 'NHR 9']",Flags(),System('gamma Cephei'),gamma Cephei,[],,,,,,,,,,,,,,13.523 pc,161.9 deg,,,101.1,System('gamma Cephei'),"[Star('gamma Cephei A'), Star('gamma Cephei B')]","[Star('gamma Cephei A'), Star('gamma Cephei B')]",27041,20.18,0.401,,14.2
35,"['gam Leo', 'γ Leonis', 'γ Leo', '41 Leonis', '41 Leo', 'Algieba', 'Al Gieba', 'HIP 50583', 'BD+20 2467', 'WDS J10200+1950', 'STF 1424']",Flags(lculated Period'),System('Gamma Leonis'),Gamma Leonis,[],177.0 au,127,,,,,,,,,,,,38.5 pc,,,,,System('Gamma Leonis'),"[Star('Gamma-1 Leonis'), Star('Gamma-2 Leonis')]","[Star('Gamma-1 Leonis'), Star('Gamma-2 Leonis')]",,,,,
36,"['Gliese 229', 'WDS J06106-2152', 'NAJ 1']",Flags(lculated Period'),System('GJ 229'),GJ 229,[],39.1 au,168,,,,,,,,,,,,5.75 pc,,,,,System('GJ 229'),"[Star('GJ 229'), Star('GJ 229 B')]","[Star('GJ 229'), Star('GJ 229 B')]",,,,,
37,"['Gliese 725', 'BD+59 1915', 'WDS J18428+5938', 'STF 2398', 'Σ 2398']",Flags(),System('GJ 725'),GJ 725,[],,,,,,,,,,,,,,3.52 pc,234.6 deg,,,66.0,System('GJ 725'),"[Star('GJ 725 A'), Star('GJ 725 B')]","[Star('GJ 725 A'), Star('GJ 725 B')]",149000,48.86,0.53,,136.9
38,"['GJ 15', 'Groombridge 34', 'BD+43 44', 'WDS J00184+4401']",Flags(),System('Gliese 15'),Gliese 15,[],,,,,,,,,,,,,,3.587 pc,331.0 deg,,,46,System('Gliese 15'),"[Star('Gliese 15 A'), Star('Gliese 15 B')]","[Star('Gliese 15 A'), Star('Gliese 15 B')]",457700,95.9,0.59,,243
39,[],Flags(lculated Period'),System('Gliese 3021'),,[],68.7 au,355,,,,,,,,,,,,17.62 pc,,,,,System('Gliese 3021'),"[Star('Gliese 3021 A'), Star('Gliese 3021 B')]","[Star('Gliese 3021 A'), Star('Gliese 3021 B')]",,,,,
40,[],Flags(),System('Gliese 667'),,[],,,,,,,,,,,,,,6.97 pc,,,,128,Binary('Gliese 667'),"[Star('Gliese 667 A'), Star('Gliese 667 B')]","[Star('Gliese 667 A'), Star('Gliese 667 B')]",42.15,,0.58,,313
41,[],Flags(lculated Period'),System('Gliese 667'),,[],228.0 au,142,,,,,,,,,,,,6.97 pc,,,,,System('Gliese 667'),"[Binary('Gliese 667'), Star('Gliese 667 C')]","[Binary('Gliese 667'), Star('Gliese 667 C')]",,,,,
42,[],Flags(lculated Period'),System('Gliese 676'),,[],825.0 au,135,,,,,,,,,,,,16.5 pc,,,,,System('Gliese 676'),"[Star('Gliese 676 A'), Star('Gliese 676 B')]","[Star('Gliese 676 A'), Star('Gliese 676 B')]",,,,,
43,[],Flags(lculated Period'),System('Gliese 777'),,[],2844.0 au,234,,,,,,,,,,,,15.89 pc,,,,,System('Gliese 777'),"[Star('Gliese 777 A'), Star('Gliese 777 B')]","[Star('Gliese 777 A'), Star('Gliese 777 B')]",,,,,
44,"['GJ 86', 'HD 13445', 'CD-51 532', 'CPD-51 282', 'WDS J02104-5049']",Flags(),System('Gliese 86'),Gliese 86,[],,,,,,,,,,,,,,10.783 pc,358.0 deg,,,122.6,System('Gliese 86'),"[Star('Gliese 86 A'), Star('Gliese 86 B')]","[Star('Gliese 86 A'), Star('Gliese 86 B')]",57720,69.8,0.61,,76.1
45,[],Flags(lculated Period'),System('HAT-P-14'),HAT-P-14,[],175.8 au,264.10,,,,,,,,,,,,205.0 pc,,,,,System('HAT-P-14'),"[Star('HAT-P-14 A'), Star('HAT-P-14 B')]","[Star('HAT-P-14 A'), Star('HAT-P-14 B')]",,,,,
46,[],Flags(lculated Period'),System('HAT-P-16'),HAT-P-16,[],162.5 au,153.83,,,,,,,,,,,,235.0 pc,,,,,System('HAT-P-16'),"[Star('HAT-P-16 A'), Star('HAT-P-16 B')]","[Star('HAT-P-16 A'), Star('HAT-P-16 B')]",,,,,
47,[],Flags(lculated Period'),System('HAT-P-24'),HAT-P-24,[],1958.0 au,170.872,,,,,,,,,,,,396.0 pc,,,,,System('HAT-P-24'),"[Star('HAT-P-24 A'), Star('HAT-P-24 B')]","[Star('HAT-P-24 A'), Star('HAT-P-24 B')]",,,,,
48,['WASP-51'],Flags(lculated Period'),System('HAT-P-30'),HAT-P-30,[],740.0 au,4.206,,,,,,,,,,,,193.0 pc,,,,,System('HAT-P-30'),"[Star('HAT-P-30 A'), Star('HAT-P-30 B')]","[Star('HAT-P-30 A'), Star('HAT-P-30 B')]",,,,,
49,[],Flags(lculated Period'),System('HAT-P-32'),HAT-P-32,[],831.0 au,110.624,,,,,,,,,,,,283.0 pc,,,,,System('HAT-P-32'),"[Star('HAT-P-32 A'), Star('HAT-P-32 B')]","[Star('HAT-P-32 A'), Star('HAT-P-32 B')]",,,,,
50,[],Flags(lculated Period'),System('HAT-P-33'),HAT-P-33,[],118.5 au,118.05,,,,,,,,,,,,387.0 pc,,,,,System('HAT-P-33'),"[Star('HAT-P-33 A'), Star('HAT-P-33 B')]","[Star('HAT-P-33 A'), Star('HAT-P-33 B')]",,,,,
51,[],Flags(lculated Period'),System('HAT-P-57'),HAT-P-57 BC,[],68.0 au,165,,,,,,,,,,,,303.0 pc,,,,,Binary('HAT-P-57'),"[Star('HAT-P-57 B'), Star('HAT-P-57 C')]","[Star('HAT-P-57 B'), Star('HAT-P-57 C')]",,,,,
52,[],Flags(lculated Period'),System('HAT-P-57'),HAT-P-57,[],800.0 au,234,,,,,,,,,,,,303.0 pc,,,,,System('HAT-P-57'),"[Binary('HAT-P-57 BC'), Star('HAT-P-57 A')]","[Binary('HAT-P-57 BC'), Star('HAT-P-57 A')]",,,,,
53,[],Flags(lculated Period'),System('HAT-P-7'),HAT-P-7,[],1238.0 au,89.8,,,,,,,,,,,,320.0 pc,,,,,System('HAT-P-7'),"[Star('HAT-P-7 A'), Star('HAT-P-7 B')]","[Star('HAT-P-7 A'), Star('HAT-P-7 B')]",,,,,
54,[],Flags(lculated Period'),System('HAT-P-8'),,[],15.0 au,222,,,,,,,,,,,,230.0 pc,,,,,Binary('HAT-P-8'),"[Star('HAT-P-8 B'), Star('HAT-P-8 C')]","[Star('HAT-P-8 B'), Star('HAT-P-8 C')]",,,,,
55,[],Flags(lculated Period'),System('HAT-P-8'),,[],240.0 au,137.9,,,,,,,,,,,,230.0 pc,,,,,System('HAT-P-8'),"[Binary('HAT-P-8'), Star('HAT-P-8')]","[Binary('HAT-P-8'), Star('HAT-P-8')]",,,,,
56,[],Flags(lculated Period'),System('HATS-58'),,[],,,,,,,,,,,,,,425.5 pc,,,,,System('HATS-58'),"[Star('HATS-58 A'), Star('HATS-58 B')]","[Star('HATS-58 A'), Star('HATS-58 B')]",,,,,
57,"['HIP 59960', 'TYC 8637-2434-1', 'CD-55 4537', 'CPD-55 4978', '2MASS J12175319-5558319', 'SAO 239819']",Flags(lculated Period'),System('HD 106906'),HD 106906,[],0.58 au,,,,,,,,,,,,,92.0 pc,,,,,System('HD 106906'),"[Star('HD 106906 A'), Star('HD 106906 B'), Planet('HD 106906 b')]","[Star('HD 106906 A'), Star('HD 106906 B'), Planet('HD 106906 b')]",,,,,
58,[],Flags(lculated Period'),System('HD 109749'),,[],489.0 au,179.75,,,,,,,,,,,,59.0 pc,,,,,System('HD 109749'),"[Star('HD 109749 A'), Star('HD 109749 B')]","[Star('HD 109749 A'), Star('HD 109749 B')]",,,,,
59,[],Flags(lculated Period'),System('HD 114729'),,[],282.0 au,333,,,,,,,,,,,,35.0 pc,,,,,System('HD 114729'),"[Star('HD 114729 A'), Star('HD 114729 B')]","[Star('HD 114729 A'), Star('HD 114729 B')]",,,,,
60,[],Flags(lculated Period'),System('HD 114762'),,[],129.0 au,30,,,,,,,,,,,,39.46 pc,,,,,System('HD 114762'),"[Star('HD 114762 A'), Star('HD 114762 B')]","[Star('HD 114762 A'), Star('HD 114762 B')]",,,,,
