,alt_names,flags,system,names,list,separation,position_angle,mass,magUltraviolet,magBlue,magH_nearinf,magInfared,magJ_nearinf,magK_nearinf,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,inclination,parent_obj,child_obj,stars,period,semi_major_axis,eccentricity,longitude,ascending_node
99,"['40 Eridani', 'omi02 Eri', 'Omicron-2 Eridani', 'ο2 Eri', 'ο2 Eridani', 'Gliese 166', 'Gl 166', 'GJ 166', 'WDS J04153-0739']",Flags(lculated Period'),System('HD 26965'),40 Eri,[],417.0 au,102,,,,,,,,,,,,4.98 pc,,,,,System('HD 26965'),"[Binary('40 Eri BC'), Star('HD 26965')]","[Binary('40 Eri BC'), Star('HD 26965')]",,,,,
100,[],Flags(lculated Period'),System('HD 27442'),,[],250.0 au,36,,,,,,,,,,,,18.1 pc,,,,,System('HD 27442'),"[Star('HD 27442 A'), Star('HD 27442 B')]","[Star('HD 27442 A'), Star('HD 27442 B')]",,,,,
101,[],Flags(lculated Period'),System('HD 38529'),,[],11200.0 au,305,,,,,,,,,,,,39.28 pc,,,,,System('HD 38529'),"[Star('HD 38529 A'), Star('HD 38529 B')]","[Star('HD 38529 A'), Star('HD 38529 B')]",,,,,
102,[],Flags(lculated Period'),System('HD 40979'),,[],,,,,,,,,,,,,,33.3 pc,,,,,Binary('HD 40979'),"[Star('HD 40979 B'), Star('HD 40979 C')]","[Star('HD 40979 B'), Star('HD 40979 C')]",,129,,,
103,[],Flags(lculated Period'),System('HD 40979'),,[],6394.0 au,290,,,,,,,,,,,,33.3 pc,,,,,System('HD 40979'),"[Binary('HD 40979'), Star('HD 40979 A')]","[Binary('HD 40979'), Star('HD 40979 A')]",,,,,
104,[],Flags(),System('HD 41004'),,[],,,,,,,,,,,,,,43.03 pc,,,,,Binary('HD 41004'),"[Star('HD 41004 B'), Star('HD 41004 B b')]","[Star('HD 41004 B'), Star('HD 41004 B b')]",1.32,,0.081,,
105,[],Flags(lculated Period'),System('HD 41004'),,[],,,,,,,,,,,,,,43.03 pc,,,,,System('HD 41004'),"[Binary('HD 41004'), Star('HD 41004 A')]","[Binary('HD 41004'), Star('HD 41004 A')]",,21.51,,,
106,[],Flags(),System('HD 4113'),HD 4113 AC,[],,,,,,,,,,,,,,41.7 pc,200.3 deg,,,89.1,Binary('HD 4113'),"[Star('HD 4113 A'), Star('HD 4113 C')]","[Star('HD 4113 A'), Star('HD 4113 C')]",38205,23.0,0.377,,41.8
107,"['CD-38 223', 'CPD-38 54', 'WDS J00432-3759']",Flags(lculated Period'),System('HD 4113'),HD 4113,[],2043.0 au,350.30,,,,,,,,,,,,41.7 pc,,,,,System('HD 4113'),"[Binary('HD 4113 AC'), Star('HD 4113 B')]","[Binary('HD 4113 AC'), Star('HD 4113 B')]",,,,,
108,[],Flags(lculated Period'),System('HD 46375'),,[],314.0 au,308,,,,,,,,,,,,33.4 pc,,,,,System('HD 46375'),"[Star('HD 46375 A'), Star('HD 46375 B')]","[Star('HD 46375 A'), Star('HD 46375 B')]",,,,,
109,"['HIP 36616', 'TYC 1364-1582-1', 'HR 2877', 'SAO 96985', 'BD+17 1596', '2MASS J07314838+1705099']",Flags(),System('HD 59686'),HD 59686,[],,,,,,,,,,,,,,96.9 pc,149.4 deg,,,,System('HD 59686'),"[Star('HD 59686 A'), Star('HD 59686 B')]","[Star('HD 59686 A'), Star('HD 59686 B')]",11680,13.56,0.729,,
110,['BD-05 215'],Flags(),System('HD 7449'),HD 7449,[],,,,,,,,,,,,,,38.9 pc,,,,59.7,System('HD 7449'),"[Star('HD 7449 A'), Star('HD 7449 B')]","[Star('HD 7449 A'), Star('HD 7449 B')]",24000,17.9,0.5,,
111,[],Flags(lculated Period'),System('HD 75289'),,[],622.0 au,78,,,,,,,,,,,,28.94 pc,,,,,System('HD 75289'),"[Star('HD 75289 A'), Star('HD 75289 B')]","[Star('HD 75289 A'), Star('HD 75289 B')]",,,,,
112,[],Flags(lculated Period'),System('HD 80606'),,[],1203.0 au,269,,,,,,,,,,,,58.4 pc,,,,,System('HD 80606'),"[Star('HD 80606'), Star('HD 80607')]","[Star('HD 80606'), Star('HD 80607')]",,,,,
113,[],Flags(lculated Period'),System('HD 8673'),HD 8673,[],11.0 au,333.4,,,,,,,,,,,,36.1 pc,,,,,System('HD 8673'),"[Star('HD 8673 A'), Star('HD 8673 B')]","[Star('HD 8673 A'), Star('HD 8673 B')]",,,,,
114,[],Flags(lculated Period'),System('HD 89744'),,[],2520.0 au,48,,,,,,,,,,,,40.0 pc,,,,,System('HD 89744'),"[Star('HD 89744 A'), Star('HD 89744 B')]","[Star('HD 89744 A'), Star('HD 89744 B')]",,,,,
115,[],Flags(lculated Period'),System('HIP 70849'),,[],9050.0 au,262,,,,,,,,,,,,24.0 pc,,,,,System('HIP 70849'),"[Star('HIP 70849'), Star('HIP 70849 B')]","[Star('HIP 70849'), Star('HIP 70849 B')]",,,,,
116,[],Flags(),System('HIP 79098'),,[],,,,,,,,,,,,,,146.3 pc,,,,,System('HIP 79098'),"[Star('HIP 79098 A'), Star('HIP 79098 B'), Planet('HIP 79098 AB b')]","[Star('HIP 79098 A'), Star('HIP 79098 B'), Planet('HIP 79098 AB b')]",558.5,,0.88,,
117,"['RX J2107.9-0518', '2MASS J21075818-0517404']",Flags(),System('HU Aqr'),HU Aqr,[],,,,,15.1,13.893,,14.177,13.634,15.0,,,,,,,,87,System('HU Aqr'),"[Star('HU Aqr A'), Star('HU Aqr B'), Planet('HU Aqr (AB) b'), Planet('HU Aqr (AB) c'), Planet('HU Aqr (AB) d')]","[Star('HU Aqr A'), Star('HU Aqr B'), Planet('HU Aqr (AB) b'), Planet('HU Aqr (AB) c'), Planet('HU Aqr (AB) d')]",0.8682036931,,,,
118,[],Flags(),System('HW Vir'),,[],,,,,,,,,,,,,,181.0 pc,,,,,Binary('HW Vir'),"[Star('HW Vir A'), Star('HW Vir B'), Planet('HW Vir (AB) b')]","[Star('HW Vir A'), Star('HW Vir B'), Planet('HW Vir (AB) b')]",0.1167,0.00399833,,,
119,[],Flags(),System('HW Vir'),,[],,,,,,,,,,,,,,181.0 pc,,,,,System('HW Vir'),"[Binary('HW Vir'), Star('HW Vir (AB) C')]","[Binary('HW Vir'), Star('HW Vir (AB) C')]",5785,5.3,,,
120,"['EPIC 247589423', 'LP 358-348', '2MASS J04293897+2252579']",Flags(lculated Period'),System('K2-136'),K2-136,[],43.0 au,7.9,,,,,,,,,,,,59.4 pc,,,,,System('K2-136'),"[Star('K2-136 A'), Star('K2-136 B')]","[Star('K2-136 A'), Star('K2-136 B')]",,,,,
121,[],Flags(lculated Period'),System('K2-288'),,[],,,,,,,,,,,,,,65.72 pc,,,,,System('K2-288'),"[Star('K2-288 A'), Star('K2-288 B')]","[Star('K2-288 A'), Star('K2-288 B')]",,55,,,
122,[],Flags(lculated Period'),System('KELT-19'),,[],,,,,,,,,,,,,,278.0 pc,,,,,System('KELT-19'),"[Star('KELT-19 A'), Star('KELT-19 B')]","[Star('KELT-19 A'), Star('KELT-19 B')]",,,,,
123,[],Flags(lculated Period'),System('KELT-23'),,[],,,,,,,,,,,,,,126.7 pc,,,,,System('KELT-23'),"[Star('KELT-23 A'), Star('KELT-23 B')]","[Star('KELT-23 A'), Star('KELT-23 B')]",,,,,
124,"['WDS J06107+3057', 'HIP 29301', 'TYC 2420-899-1', 'HD 47126', 'BD+30 1138', 'SAO 58830', 'COU 1102']",Flags(lculated Period'),System('KELT-2'),KELT-2,[],295.0 au,328.6,,,,,,,,,,,,128.6 pc,,,,,System('KELT-2'),"[Star('KELT-2A'), Star('KELT-2B')]","[Star('KELT-2A'), Star('KELT-2B')]",,,,,
125,[],Flags(),System('KELT-4'),KELT-4BC,[],10.3 au,,,,,,,,,,,,,210.0 pc,,,,,Binary('KELT-4'),"[Star('KELT-4B'), Star('KELT-4C')]","[Star('KELT-4B'), Star('KELT-4C')]",10738,,,,
126,[],Flags(),System('KELT-4'),,[],328.0 au,,,,,,,,,,,,,210.0 pc,,,,,System('KELT-4'),"[Binary('KELT-4BC'), Star('KELT-4A')]","[Binary('KELT-4BC'), Star('KELT-4A')]",1380645,,,,
127,"['KOI-119', 'KIC 9471974', '2MASS J19381420+4603443']",Flags(lculated Period'),System('Kepler-108'),Kepler-108,[],327.5 au,118.4,,,,,,,,,,,,313.0 pc,,,,,System('Kepler-108'),"[Star('Kepler-108 A'), Star('Kepler-108 B')]","[Star('Kepler-108 A'), Star('Kepler-108 B')]",,,,,
128,"['KOI-13 BC', 'KIC 9941662 BC']",Flags(),System('Kepler-13'),Kepler-13 BC,[],,,,,,,,,,,,,,530.0 pc,32.0 deg,,,,Binary('Kepler-13'),"[Star('Kepler-13 B'), Star('Kepler-13 C')]","[Star('Kepler-13 B'), Star('Kepler-13 C')]",65.831,0.41,0.52,,
129,"['KOI-13', 'KIC 9941662', 'BD+46 2629']",Flags(lculated Period'),System('Kepler-13'),Kepler-13,[],610.0 au,281,,,,,,,,,,,,530.0 pc,,,,,System('Kepler-13'),"[Binary('Kepler-13 BC'), Star('Kepler-13 A')]","[Binary('Kepler-13 BC'), Star('Kepler-13 A')]",,,,,
130,"['KOI-1611', 'KIC 12644769', '2MASS J19161817+5145267']",Flags(),System('Kepler-16'),Kepler-16,[],,,,,12.1,,,,,,,,,60.0 pc,,,,,System('Kepler-16'),"[Star('Kepler-16 A'), Star('Kepler-16 B'), Planet('Kepler-16 (AB) b')]","[Star('Kepler-16 A'), Star('Kepler-16 B'), Planet('Kepler-16 (AB) b')]",41,0.22,,,
131,"['KOI-975', 'KIC 3632418', 'HD 179070', 'BD+38 3455']",Flags(lculated Period'),System('Kepler-21'),Kepler-21,[],87.3 au,129.53,,,,,,,,,,,,112.9 pc,,,,,System('Kepler-21'),"[Star('Kepler-21 A'), Star('Kepler-21 B')]","[Star('Kepler-21 A'), Star('Kepler-21 B')]",,,,,
132,[],Flags(lculated Period'),System('Kepler-296'),,[],80.0 au,217.3,,,,,,,,,,,,558.5 pc,,,,,System('Kepler-296'),"[Star('Kepler-296 A'), Star('Kepler-296 B')]","[Star('Kepler-296 A'), Star('Kepler-296 B')]",,,,,
133,"['KIC 8572936', 'KOI-2459', '2MASS J19454459+4438296']",Flags(),System('Kepler-34'),Kepler-34,[],,,,,,13.301,,13.605,13.24,,,,,1500.0 pc,,,,89.8584,System('Kepler-34'),"[Star('Kepler-34 A'), Star('Kepler-34 B'), Planet('Kepler-34 (AB) b')]","[Star('Kepler-34 A'), Star('Kepler-34 B'), Planet('Kepler-34 (AB) b')]",27.7958,0.11590877,0.52087,180,
134,"['KIC 9837578', 'KOI-2937', '2MASS J19375927+4641231']",Flags(),System('Kepler-35'),Kepler-35,[],,,,,,14.04,,14.43,13.88,,,,,1645.0 pc,,,,90.4238,System('Kepler-35'),"[Star('Kepler-35 A'), Star('Kepler-35 B'), Planet('Kepler-35 (AB) b')]","[Star('Kepler-35 A'), Star('Kepler-35 B'), Planet('Kepler-35 (AB) b')]",20.733,0.17617,0.1421,,
135,"['KOI-1740', 'KIC 6762829', '2MASS J19071928+4216451']",Flags(lculated Period'),System('Kepler-38'),Kepler-38,[],,,,,,12.412,,12.73,12.342,,,,,1215.8 pc,,,,,System('Kepler-38'),"[Star('Kepler-38 A'), Star('Kepler-38 B'), Planet('Kepler-38 (AB) b')]","[Star('Kepler-38 A'), Star('Kepler-38 B'), Planet('Kepler-38 (AB) b')]",,0.1460,0.1032,,
136,[],Flags(lculated Period'),System('Kepler-410'),,[],224.0 au,35,,,9.95,8.191,,8.417,8.14,9.5,,,,132.0 pc,,,,,System('Kepler-410'),"[Star('Kepler-410 A'), Star('Kepler-410 B')]","[Star('Kepler-410 A'), Star('Kepler-410 B')]",,,,,
137,[],Flags(),System('Kepler-413'),,[],,,,,,13.51,,13.987,13.41,,,,,,279.54 deg,,,87.3258,System('Kepler-413'),"[Star('Kepler-413 A'), Star('Kepler-413 B'), Planet('Kepler-413 b')]","[Star('Kepler-413 A'), Star('Kepler-413 B'), Planet('Kepler-413 b')]",10.116146,0.10148,0.0372,,
138,[],Flags(lculated Period'),System('Kepler-444'),,[],,,,,,,,,,,,,,35.7 pc,,,,,Binary('Kepler-444'),"[Star('Kepler-444 B'), Star('Kepler-444 C')]","[Star('Kepler-444 B'), Star('Kepler-444 C')]",,0.3,,,
139,"['HIP 94931', 'KOI-3158', 'KIC 6278762', 'LHS 3450', 'PPM 58152', 'TYC 3129-329-1', 'BD+41 3306', '2MASS J19190052+4138043']",Flags(),System('Kepler-444'),Kepler-444,[],,,,,,,,,,,,,,35.7 pc,342.8 deg,,,90.4,System('Kepler-444'),"[Binary('Kepler-444'), Star('Kepler-444 A')]","[Binary('Kepler-444'), Star('Kepler-444 A')]",72320,36.7,0.864,,73.1
140,"['KOI-270', 'KIC 6528464']",Flags(lculated Period'),System('Kepler-449'),Kepler-449,[],,68.4,,,,,,,,,,,,,,,,,System('Kepler-449'),"[Star('Kepler-449 A'), Star('Kepler-449 B')]","[Star('Kepler-449 A'), Star('Kepler-449 B')]",,,,,
141,"['KOI-279', 'KIC 12314973', '2MASS J19415676+5100486']",Flags(lculated Period'),System('Kepler-450'),Kepler-450,[],,,,,,,,,,,,,,,,,,,System('Kepler-450'),"[Star('Kepler-450 A'), Star('Kepler-450 B')]","[Star('Kepler-450 A'), Star('Kepler-450 B')]",,,,,
142,"['2MASS J19411149+4655136', 'KIC 10020423', 'KOI-3154']",Flags(),System('Kepler-47'),Kepler-47,[],,,,,,13.64,,13.97,13.54,,,,,1189.0 pc,232.3 deg,,,89.34,System('Kepler-47'),"[Star('Kepler-47 A'), Star('Kepler-47 B'), Planet('Kepler-47 (AB) b'), Planet('Kepler-47 (AB) c'), Planet('Kepler-47 (AB) d')]","[Star('Kepler-47 A'), Star('Kepler-47 B'), Planet('Kepler-47 (AB) b'), Planet('Kepler-47 (AB) c'), Planet('Kepler-47 (AB) d')]",7.4483,0.0836,0.0234,,
143,"['KOI-246', 'KIC 11295426']",Flags(lculated Period'),System('Kepler-68'),Kepler-68,[],1482.0 au,145.43,,,,,,,,,,,,135.0 pc,,,,,System('Kepler-68'),"[Star('Kepler-68 A'), Star('Kepler-68 B')]","[Star('Kepler-68 A'), Star('Kepler-68 B')]",,,,,
144,"['KOI-6837 A', 'TYC 3127-167-1 A']",Flags(),System('KIC 7177553'),KIC 7177553 A,[],,,,,,,,,,,,,,406.0 pc,3.298 deg,,,87.679,Binary('KIC 7177553'),"[Star('KIC 7177553 Aa'), Star('KIC 7177553 Ab'), Planet('KIC 7177553 A(ab) b')]","[Star('KIC 7177553 Aa'), Star('KIC 7177553 Ab'), Planet('KIC 7177553 A(ab) b')]",17.996467,0.17090,0.3915,,
145,"['KOI-6837 B', 'TYC 3127-167-1 B']",Flags(),System('KIC 7177553'),KIC 7177553 B,[],,,,,,,,,,,,,,406.0 pc,331.17 deg,,,60,Binary('KIC 7177553'),"[Star('KIC 7177553 Ba'), Star('KIC 7177553 Bb')]","[Star('KIC 7177553 Ba'), Star('KIC 7177553 Bb')]",16.5490,,0.4421,,
146,"['KOI-6837', 'TYC 3127-167-1', '2MASS J18520290+4243165']",Flags(lculated Period'),System('KIC 7177553'),KIC 7177553,[],167.0 au,193.6,,,,,,,,,,,,406.0 pc,,,,,System('KIC 7177553'),"[Binary('KIC 7177553 A'), Binary('KIC 7177553 B')]","[Binary('KIC 7177553 A'), Binary('KIC 7177553 B')]",,,,,
147,"['KOI-1451', 'Kepler-453', '2MASS J18525791+4622424']",Flags(),System('KIC 9632895'),KIC 9632895,[],,,,,,11.97,,12.349,11.92,,,,,500.0 pc,262.86 deg,,,90.275,System('KIC 9632895'),"[Star('KIC 9632895 A'), Star('KIC 9632895 B'), Planet('KIC 9632895 b')]","[Star('KIC 9632895 A'), Star('KIC 9632895 B'), Planet('KIC 9632895 b')]",27.322037,0.18479,0.051,,
148,"['Kepler-420', 'KIC 8751933', '2MASS J19245404+4455385']",Flags(),System('KOI-1257'),KOI-1257,[],,,,,15.83,12.827,,13.222,12.726,14.867,,,,900.0 pc,180.0 deg,,,18.2,System('KOI-1257'),"[Star('KOI-1257 A'), Star('KOI-1257 B')]","[Star('KOI-1257 A'), Star('KOI-1257 B')]",3430,5.3,0.31,,
149,"['Kepler-432', 'KIC 10864656', '2MASS J19330772+4817092']",Flags(lculated Period'),System('KOI-1299'),KOI-1299,[],750.0 au,20.86,,,,10.221,,10.684,,,,,,870.0 pc,,,,,System('KOI-1299'),"[Star('KOI-1299 A'), Star('KOI-1299 B')]","[Star('KOI-1299 A'), Star('KOI-1299 B')]",,,,,
150,"['KIC 5473556 AB', 'Kepler-1647 AB', '2MASS J19523602+4039222']",Flags(),System('KOI-2939'),KOI-2939 AB,[],,,,,,12.078,,12.376,12.007,,,,,,300.5442 deg,,,87.9164,Binary('KOI-2939'),"[Star('KOI-2939 A'), Star('KOI-2939 B'), Planet('KOI-2939 b')]","[Star('KOI-2939 A'), Star('KOI-2939 B'), Planet('KOI-2939 b')]",11.2588179,0.1276,0.1602,,
151,"['KIC 5473556', 'Kepler-1647']",Flags(lculated Period'),System('KOI-2939'),KOI-2939,[],,176.02,,,,,,,,,,,,,,,,,System('KOI-2939'),"[Binary('KOI-2939 AB'), Star('KOI-2939 C')]","[Binary('KOI-2939 AB'), Star('KOI-2939 C')]",,,,,
152,[],Flags(lculated Period'),System('NGTS-14'),,[],,,,,,,,,,,,,,325.1 pc,,,,,System('NGTS-14'),"[Star('NGTS-14 A'), Star('NGTS-14 B')]","[Star('NGTS-14 A'), Star('NGTS-14 B')]",,1137,,,
153,[],Flags(lculated Period'),System('NGTS-3'),,[],,,,,,,,,,,,,,760.3 pc,,,,,System('NGTS-3'),"[Star('NGTS-3 A'), Star('NGTS-3 B')]","[Star('NGTS-3 A'), Star('NGTS-3 B')]",,,,,
154,[],Flags(),System('NN Ser'),,[],,,,,,,,,,,,,,500.0 pc,,,,,System('NN Ser'),"[Star('NN Ser A'), Star('NN Ser B'), Planet('NN Ser (AB) c'), Planet('NN Ser (AB) d')]","[Star('NN Ser A'), Star('NN Ser B'), Planet('NN Ser (AB) c'), Planet('NN Ser (AB) d')]",0.133333,,,,
155,[],Flags(),System('NSVS 14256825'),,[],,,,,12.9,13.797,,13.658,13.95,,,,,570.0 pc,,,,,System('NSVS 14256825'),"[Star('NSVS 14256825 A'), Star('NSVS 14256825 B'), Planet('NSVS 14256825 b')]","[Star('NSVS 14256825 A'), Star('NSVS 14256825 B'), Planet('NSVS 14256825 b')]",0.110341681,,,,
156,"['Nu Octantis', 'ν Oct', 'HD 205478', 'HR 8254', 'HIP 107089', 'Gliese 835.1', 'Gl 835.1', 'GJ 835.1', 'GJ 9744', 'CD-77 1079', 'CPD-77 1510', '2MASS J21412863-7723243', 'SAO 257948']",Flags(lculated Period'),System('nu Oct'),nu Oct,[],,,,,,,,,,,,,,22.1 pc,75.0 deg,,,70.8,System('nu Oct'),"[Star('nu Oct A'), Star('nu Oct B')]","[Star('nu Oct A'), Star('nu Oct B')]",,2.62959,0.2368,,87.0
157,[],Flags(),System('NY Virginis'),,[],,,,,,,,,,,,,,613.18 pc,,,,,System('NY Virginis'),"[Star('NY Virginis A'), Star('NY Virginis B'), Planet('NY Vir b'), Planet('NY Vir c')]","[Star('NY Virginis A'), Star('NY Virginis B'), Planet('NY Vir b'), Planet('NY Vir c')]",0.1010159673,,,,
158,[],Flags(),System('OGLE-2007-BLG-349L'),,[],,,,,,,,,,,,,,2760.0 pc,,,,,System('OGLE-2007-BLG-349L'),"[Star('OGLE-2007-BLG-349L A'), Star('OGLE-2007-BLG-349L B'), Planet('OGLE-2007-BLG-349L (AB) c')]","[Star('OGLE-2007-BLG-349L A'), Star('OGLE-2007-BLG-349L B'), Planet('OGLE-2007-BLG-349L (AB) c')]",9.7,0.080,,,
159,[],Flags(lculated Period'),System('OGLE-2008-BLG-092L'),,[],48.0 au,,,,,,,,,,,,,8100.0 pc,,,,,System('OGLE-2008-BLG-092L'),"[Star('OGLE-2008-BLG-092L A'), Star('OGLE-2008-BLG-092L B')]","[Star('OGLE-2008-BLG-092L A'), Star('OGLE-2008-BLG-092L B')]",,,,,
160,[],Flags(lculated Period'),System('OGLE-2013-BLG-0341L'),,[],10.536 au,,,,,,,,,,,,,911.0 pc,,,,,System('OGLE-2013-BLG-0341L'),"[Star('OGLE-2013-BLG-0341L A'), Star('OGLE-2013-BLG-0341L B')]","[Star('OGLE-2013-BLG-0341L A'), Star('OGLE-2013-BLG-0341L B')]",,,,,
161,[],Flags(lculated Period'),System('OGLE-2013-BLG-0723L'),OGLE-2013-BLG-0723L,[],1.74 au,,,,,,,,,,,,,490.0 pc,,,,,System('OGLE-2013-BLG-0723L'),"[Star('OGLE-2013-BLG-0723L A'), Star('OGLE-2013-BLG-0723L B')]","[Star('OGLE-2013-BLG-0723L A'), Star('OGLE-2013-BLG-0723L B')]",,,,,
162,[],Flags(lculated Period'),System('OGLE-2016-BLG-0613L'),,[],2.96 au,,,,,,,,,,,,,3410.0 pc,,,,,System('OGLE-2016-BLG-0613L'),"[Star('OGLE-2016-BLG-0613L A'), Star('OGLE-2016-BLG-0613L B'), Planet('OGLE-2016-BLG-0613L AB b')]","[Star('OGLE-2016-BLG-0613L A'), Star('OGLE-2016-BLG-0613L B'), Planet('OGLE-2016-BLG-0613L AB b')]",,,,,
163,"['Kepler-64 A', 'KIC 4862625 A']",Flags(),System('PH-1'),PH-1 A,[],,,,,,,,,,,,,,1500.0 pc,348.0 deg,,,,Binary('PH-1'),"[Star('PH-1 Aa'), Star('PH-1 Ab'), Planet('PH-1 A(ab) b')]","[Star('PH-1 Aa'), Star('PH-1 Ab'), Planet('PH-1 A(ab) b')]",20.000214,0.1744,0.21166048,,
164,"['Kepler-64 B', 'KIC 4862625 B']",Flags(lculated Period'),System('PH-1'),PH-1 B,[],60.0 au,,,,,,,,,,,,,1500.0 pc,,,,,Binary('PH-1'),"[Star('PH-1 Ba'), Star('PH-1 Bb')]","[Star('PH-1 Ba'), Star('PH-1 Bb')]",,,,,
165,"['Kepler-64', 'KIC 4862625', '2MASS J19525162+3957183']",Flags(lculated Period'),System('PH-1'),PH-1,[],1000.0 au,123,,,,,,,,,,,,1500.0 pc,,,,,System('PH-1'),"[Binary('PH-1 A'), Binary('PH-1 B')]","[Binary('PH-1 A'), Binary('PH-1 B')]",,,,,
166,"['HIP 86614', 'TYC 4436-1425-1', 'SAO 8890', 'BD+72 804', 'STF 2241 A']",Flags(),System('Psi-1 Draconis'),HD 162003,[],,,,,,,,,,,,,,22.93 pc,32.9 deg,,,,Binary('Psi-1 Draconis'),"[Star('Psi-1 Draconis A'), Star('Psi-1 Draconis C')]","[Star('Psi-1 Draconis A'), Star('Psi-1 Draconis C')]",6649,8.7,0.674,,
167,"['ψ1 Dra', 'ψ1 Draconis', 'psi01 Dra', 'psi01 Draconis', '31 Dra', '31 Draconis', 'Gliese 694.1', 'GJ 694.1', 'GJ 9602', 'WDS J17419+7209']",Flags(lculated Period'),System('Psi-1 Draconis'),Psi-1 Draconis,[],690.0 au,15.49,,,,,,,,,,,,22.93 pc,,,,,System('Psi-1 Draconis'),"[Binary('HD 162003'), Star('Psi-1 Draconis B')]","[Binary('HD 162003'), Star('Psi-1 Draconis B')]",,,,,
168,[],Flags(),System('PSR B1620-26'),B1620-26,[],,,,,,,,,,,,,,1800.0 pc,117.1291 deg,,,55,System('PSR B1620-26'),"[Star('PSR B1620-26'), Star('WD J1623-266'), Planet('PSR B1620-26 b')]","[Star('PSR B1620-26'), Star('WD J1623-266'), Planet('PSR B1620-26 b')]",191.44281,,0.02531545,,
169,[],Flags(lculated Period'),System('Ross 458'),Ross 458 AB,[],5.4 au,81.5,,,,,,,,,,,,114.0 pc,,,,,System('Ross 458'),"[Star('Ross 458 A'), Star('Ross 458 B'), Planet('Ross 458 C')]","[Star('Ross 458 A'), Star('Ross 458 B'), Planet('Ross 458 C')]",,,,,
170,[],Flags(lculated Period'),System('ROXs 42 B'),ROXs 42 B,[],,157.9,,,16.3,9.02,11.72,9.91,,14.27,,,,120.0 pc,,,,,System('ROXs 42 B'),"[Star('ROXs 42 B A'), Star('ROXs 42 B B'), Planet('ROXs 42 B b')]","[Star('ROXs 42 B A'), Star('ROXs 42 B B'), Planet('ROXs 42 B b')]",,,,,
171,[],Flags(),System('RR Cae'),,[],,,,,,,,,,,,,,,,,,,System('RR Cae'),"[Star('RR Cae A'), Star('RR Cae B'), Planet('RR Cae (AB) b')]","[Star('RR Cae A'), Star('RR Cae B'), Planet('RR Cae (AB) b')]",0.3041666,,,,
172,[],Flags(lculated Period'),System('SR 12 AB'),SR 12,[],35.0 au,96,,,,,,,,13.28,,,,125.0 pc,,,,,System('SR 12 AB'),"[Star('SR 12 A'), Star('SR 12 B'), Planet('SR 12 C')]","[Star('SR 12 A'), Star('SR 12 B'), Planet('SR 12 C')]",,,,,
173,"['WDS J13473+1727', 'HIP 67275']",Flags(),System('tau Boo'),tau Boo,[],,,,,,,,,,,,,,15.62 pc,334.2 deg,,,37.0,System('tau Boo'),"[Star('tau Boo A'), Star('tau Boo B')]","[Star('tau Boo A'), Star('tau Boo B')]",352100,120,0.836,,171.9
174,"['Tau Geminorum', 'τ Gem', 'τ Geminorum', '46 Gem', '46 Geminorum', 'HD 54719', 'HIP 34693', 'SAO 59858', 'HR 2697', 'BD+30 1439', 'WDS J07111+3015']",Flags(lculated Period'),System('tau Gem'),tau Gem,[],187.0 au,177,,,,,,,,,,,,98.4 pc,,,,,System('tau Gem'),"[Star('tau Gem A'), Star('tau Gem B')]","[Star('tau Gem A'), Star('tau Gem B')]",,,,,
175,[],Flags(),System('TIC 168789840'),,[],,,,,,,,,,,,,,584.0 pc,,,,88.5,Binary('TIC 168789840'),"[Star('TIC 168789840 B1'), Star('TIC 168789840 B2')]","[Star('TIC 168789840 B1'), Star('TIC 168789840 B2')]",8.217111,,,,
176,[],Flags(),System('TIC 168789840'),,[],,,,,,,,,,,,,,584.0 pc,,,,89.6,Binary('TIC 168789840'),"[Star('TIC 168789840 A1'), Star('TIC 168789840 A2')]","[Star('TIC 168789840 A1'), Star('TIC 168789840 A2')]",1.570013,,,,
177,[],Flags(),System('TIC 168789840'),,[],,,,,,,,,,,,,,584.0 pc,,,,75.9,Binary('TIC 168789840'),"[Star('TIC 168789840 C1'), Star('TIC 168789840 C2')]","[Star('TIC 168789840 C1'), Star('TIC 168789840 C2')]",1.3058336,,,,
178,[],Flags(),System('TIC 168789840'),,[],,,,,,,,,,,,,,584.0 pc,,,,42,Binary('TIC 168789840'),"[Binary('TIC 168789840'), Binary('TIC 168789840')]","[Binary('TIC 168789840'), Binary('TIC 168789840')]",1351.3961,,0.28,,
179,[],Flags(),System('TIC 168789840'),,[],,,,,,,,,,,,,,584.0 pc,,,,42,System('TIC 168789840'),"[Binary('TIC 168789840'), Binary('TIC 168789840')]","[Binary('TIC 168789840'), Binary('TIC 168789840')]",730000,,0.28,,
180,[],Flags(lculated Period'),System('TOI-1259'),,[],,,,,,,,,,,,,,118.11 pc,,,,,System('TOI-1259'),"[Star('TOI-1259 A'), Star('TOI-1259 B')]","[Star('TOI-1259 A'), Star('TOI-1259 B')]",,1600,,,
181,[],Flags(),System('TOI-1338'),,[],,,,,,,,,,,,,,403.66 pc,,,,89.649,System('TOI-1338'),"[Star('TOI-1338 A'), Star('TOI-1338 B'), Planet('TOI-1338 (AB) b')]","[Star('TOI-1338 A'), Star('TOI-1338 B'), Planet('TOI-1338 (AB) b')]",14.608,0.1319,0.15603,,
