,name,flags,system,radius,orbital_inclination,seperation,age,transit_time,longitude,ascending_node,discovery_method,discovery_year,description ,alt_names,list,type,mass,semi_major_axis,orbital_period,periastron,periastron_time,eccentricity,distance,temp,right_ascension,declination,parent_obj,star
3194,Kepler-48 e,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-48'),,,,,,,,RV,2014,"This planet has been discovered during a radial velocity follow up of stars observed by Kepler which host planet candidates. Although other planets in this system are transiting, this one is not.","['KOI-148.10', 'KOI-148 e', 'KIC 5735762 e', 'Gaia DR2 2075112109039378688 e', 'Kepler-48 e']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-48 e')>,2.066725 M_j,,,,,,313.14 pc,184.82936378029834 K,299d08m21.2415s,40d56m56.496s,Star('Kepler-48'),Star('Kepler-48')
3195,Kepler-490 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-490'),1.039 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-199 b', 'KOI-199.01', 'KIC 10019708 b', 'Gaia DR2 2128525460498487424 b', 'Kepler-490 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-490 b')>,,,,,,,1591.34 pc,1566.10420455475 K,295d01m32.4255s,46d57m21.5649s,Star('Kepler-490'),Star('Kepler-490')
3196,Kepler-492 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-492'),0.856 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-205 b', 'KOI-205.01', 'KIC 7046804 b', 'Gaia DR2 2077896798333728640 b', 'Kepler-492 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-492 b')>,,,,,,,597.979 pc,863.0227361979943 K,295d29m47.9505s,42d32m16.4008s,Star('Kepler-492'),Star('Kepler-492')
3197,Kepler-493 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-493'),1.35 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-208 b', 'KOI-208.01', 'KIC 3762468 b', 'Gaia DR2 2076166029596100224 b', 'Kepler-493 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-493 b')>,,,,,,,1834.86 pc,1941.5626324550917 K,295d18m27.2055s,38d52m53.9267s,Star('Kepler-493'),Star('Kepler-493')
3198,Kepler-494 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-494'),0.637 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-219 b', 'KOI-219.01', 'KIC 6305192 b', 'Gaia DR2 2076942628402548608 b', 'Kepler-494 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-494 b')>,,,,,,,,1219.844339727438 K,297d12m50.6145s,41d39m50.5049s,Star('Kepler-494'),Star('Kepler-494')
3199,Kepler-495 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-495'),0.467 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-221 b', 'KOI-221.01', 'KIC 3937519 b', 'Gaia DR2 2100073393808483328 b', 'Kepler-495 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-495 b')>,,,,,,,671.592 pc,1220.7181377216664 K,285d55m50.5485s,39d05m53.2812s,Star('Kepler-495'),Star('Kepler-495')
3200,Kepler-496 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-496'),0.207 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-226 b', 'KOI-226.01', 'KIC 5959753 b', 'Gaia DR2 2101650647537529088 b', 'Kepler-496 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-496 b')>,,,,,,,615.877 pc,838.636167527686 K,291d38m27.1785s,41d14m27.7211s,Star('Kepler-496'),Star('Kepler-496')
3201,Kepler-497 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-497'),0.539 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-229 b', 'KOI-229.01', 'KIC 3847907 b', 'Kepler-497 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-497 b')>,,,,,,,,1458.4168673447518 K,290d45m57.018s,38d55m40.6912s,Star('Kepler-497'),Star('Kepler-497')
3202,Kepler-498 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-498'),0.27 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-234 b', 'KOI-234.01', 'KIC 8491277 b', 'Gaia DR2 2126984220073270784 b', 'Kepler-498 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-498 b')>,,,,,,,964.878 pc,917.7816294711391 K,290d21m29.349s,44d31m07.4419s,Star('Kepler-498'),Star('Kepler-498')
3203,Kepler-499 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-499'),0.194 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-235 b', 'KOI-235.01', 'KIC 8107225 b', 'Gaia DR2 2078125359313871488 b', 'Kepler-499 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-499 b')>,,,,,,,565.739 pc,962.0569017115193 K,295d06m35.7165s,43d54m54.6542s,Star('Kepler-499'),Star('Kepler-499')
3204,Kepler-49 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-49'),0.21416 R_j,,,,2455003.28587 JD,,,transit,2014,"Kepler-49 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-49 b are still unknown, the object is highly unlikely to be a false positive.","['KOI-248 b', 'KOI-248.01', 'KIC 5364071 b', 'KIC 5364071.01', 'Gaia DR2 2053523271244105216 b', 'Kepler-49 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-49 b')>,,,,,,,385.34 pc,628.6464205293121 K,292d17m40.4295s,40d35m30.4578s,Star('Kepler-49'),Star('Kepler-49')
3205,Kepler-49 c,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-49'),0.18773 R_j,,,,2455002.85183 JD,,,transit,2014,"Kepler-49 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-49 c are still unknown, the object is highly unlikely to be a false positive.","['KOI-248 c', 'KOI-248.02', 'KIC 5364071 c', 'KIC 5364071.02', 'Gaia DR2 2053523271244105216 c', 'Kepler-49 c']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-49 c')>,,,,,,,385.34 pc,547.3736993426351 K,292d17m40.4295s,40d35m30.4578s,Star('Kepler-49'),Star('Kepler-49')
3206,Kepler-49 d,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-49'),0.14581 R_j,,,,2455005.12932 JD,,,transit,2014,"Kepler-49 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-49 d are still unknown, the object is highly unlikely to be a false positive.","['KOI-248 d', 'KOI-248.03', 'KIC 5364071 d', 'KIC 5364071.03', 'Gaia DR2 2053523271244105216 d', 'Kepler-49 d']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-49 d')>,,,,,,,385.34 pc,885.6231371824067 K,292d17m40.4295s,40d35m30.4578s,Star('Kepler-49'),Star('Kepler-49')
3207,Kepler-49 e,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-49'),0.14216 R_j,,,,2454974.26415 JD,,,transit,2014,"Kepler-49 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-49 e are still unknown, the object is highly unlikely to be a false positive.","['KOI-248 e', 'KOI-248.04', 'KIC 5364071 e', 'KIC 5364071.04', 'Gaia DR2 2053523271244105216 e', 'Kepler-49 e']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-49 e')>,,,,,,,385.34 pc,458.2696220939774 K,292d17m40.4295s,40d35m30.4578s,Star('Kepler-49'),Star('Kepler-49')
3208,Kepler-4 b,Flags(),System('Kepler-4'),0.357 R_j,89.76 deg,,,2454956.6127 JD,,,transit,2010,,"['2MASS J19022767+5008087 b', 'KIC 11853905 b', 'KOI-7.01', 'KOI-7 b', 'Gaia DR2 2132152916856093952 b', 'Kepler-4 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-4 b')>,0.077 M_j,0.0456 au,,,,0.0,550.0 pc,1474.7 K,285d36m55.4715s,50d08m08.7037s,Star('Kepler-4'),Star('Kepler-4')
3209,Kepler-500 b,"Flags(lculated Temperature', 'Calculated SMA')",System('Kepler-500'),0.23 R_j,,,,,,,transit,2016,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.","['KOI-237 b', 'KOI-237.01', 'KIC 8041216 b', 'Gaia DR2 2079563829758338432 b', 'Kepler-500 b']",['Confirmed planets'],<bound method Planet.type of Planet('Kepler-500 b')>,,,,,,,826.583 pc,995.3952113193948 K,295d57m04.9215s,43d51m07.3331s,Star('Kepler-500'),Star('Kepler-500')
