,name,flags,system,radius,orbital_inclination,seperation,age,transit_time,longitude,ascending_node,discovery_method,discovery_year,description ,alt_names,list,type,mass,semi_major_axis,orbital_period,periastron,periastron_time,eccentricity,distance,temp,right_ascension,declination,parent_obj,star
0,11 Com b,Flags(lculated Temperature'),System('11 Com'),,,,,,,,RV,2008,11 Com b is a brown dwarf-mass companion to the intermediate-mass star 11 Comae Berenices.,"['Gaia DR2 3946945413106333696 b', 'HIP 60202 b', 'HD 107383 b', 'TYC 1445-2560-1 b', '11 Com b']",['Confirmed planets'],<bound method Planet.type of Planet('11 Com b')>,19.4 M_j,1.29 au,326.03 d,94.8 deg,2452899.6,0.231,88.9 pc,937.0133271303275 K,185d10m45.3825s,17d47m34.3392s,Star('11 Com'),Star('11 Com')
1,11 UMi b,Flags(lculated Temperature'),System('11 UMi'),,,,,,,,RV,2009,11 Ursae Minoris is a star located in the constellation Ursa Minor and also named Pherkard or Pherkad Minor.,"['11 Ursae Minoris b', 'HD 136726 b', 'TYC 4414-2315-1 b', 'Pherkad Minor b', 'Gaia DR2 1696798367260229376 b', 'HIP 74793 b', '11 UMi b']",['Confirmed planets'],<bound method Planet.type of Planet('11 UMi b')>,11.2 M_j,1.54 au,516.22 d,117.63 deg,2452861.04,0.08,122.1 pc,883.608496617316 K,229d16m28.3348s,71d49m26.0466s,Star('11 UMi'),Star('11 UMi')
2,14 And b,Flags(lculated Temperature'),System('14 And'),,,,,,,,RV,2008,14 Andromedae is an evolved star in the constellation of Andromeda. It was formerly an A-type dwarf.,"['14 Andromedae b', 'HD 221345 b', 'TYC 3231-323-1 b', 'Veritate b', 'Gaia DR2 1920113512486282240 b', 'HIP 116076 b', '14 And b']",['Confirmed planets'],<bound method Planet.type of Planet('14 And b')>,4.8 M_j,0.83 au,185.84 d,0.0 deg,2452861.4,0.0,79.2 pc,902.143098353914 K,352d49m21.2019s,39d14m10.3092s,Star('14 And'),Star('14 And')
3,14 Her b,Flags(lculated Temperature'),System('14 Her'),,,,,,,,RV,2002,"The star 14 Herculis is only 59 light years away in the constellation Hercules. However, because it is an orange dwarf star it can not be seen with the naked eye. There is only one confirmed planet in the system, but a dynamical analysis suggests that they might be two planets locked in a 4:1 mean motion resonance.","['HD 145675 b', 'GJ 614 b', 'TYC 3067-576-1 b', 'Gaia DR2 1385293808145621504 b', 'HIP 79248 b', '14 Her b']",['Confirmed planets'],<bound method Planet.type of Planet('14 Her b')>,4.975 M_j,2.864 au,1766.0 d,22.23 deg,,0.359,18.1 pc,135.95923002099366 K,242d36m04.728s,43d49m03.4987s,Star('14 Her'),Star('14 Her')
4,14 Her c,Flags(lculated Temperature'),System('14 Her'),,,,,,,,RV,2006,"14 Her c is the second companion in the system. Its properties are not yet well-constrained, though both radial velocity and direct imaging results give some constraints on its properties.","['HD 145675 c', 'GJ 614 c', 'TYC 3067-576-1 c', 'Gaia DR2 1385293808145621504 c', 'HIP 79248 c', '14 Her c']",['Controversial'],<bound method Planet.type of Planet('14 Her c')>,7.679 M_j,9.037 au,9886.0 d,189.076 deg,,0.184,18.1 pc,76.53904904444423 K,242d36m04.728s,43d49m03.4987s,Star('14 Her'),Star('14 Her')
5,16 Cygni B b,Flags(lculated Temperature'),System('16 Cygni'),,45.0 deg,,,,,,RV,1996,16 Cygni is a hierarchical triple system. The star is in the Kepler field of view. In an active search for extra-terrestrial intelligence a radio message has been sent to this system on May 24 1999. It will reach the system in 2069.,"['16 Cyg B b', 'HD 186427 B b', '16 Cygni B b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('16 Cygni B b')>,1.77 M_j,1.72 au,799.5 d,83.4 deg,2450539.3,0.689,21.146 pc,239.64471304591123 K,,,Star('16 Cygni B'),Star('16 Cygni B')
6,18 Del b,Flags(lculated Temperature'),System('18 Del'),,,,,,,,RV,2008,18 Delphini is a star in the constellation of Delphinus.,"['18 Delphini b', 'HD 199665 b', 'Gaia DR2 1756741374681702784 b', 'HIP 103527 b', 'Musica b', 'TYC 1107-2709-1 b', '18 Del b']",['Confirmed planets'],<bound method Planet.type of Planet('18 Del b')>,10.3 M_j,2.6 au,993.3 d,166.1 deg,2451672,0.08,75.3 pc,463.51862342293697 K,314d36m29.0095s,10d50m21.4289s,Star('18 Del'),Star('18 Del')
7,1RXS1609 b,Flags(),System('1RXS1609'),1.7 R_j,,330.0 au,,,,,imaging,2008,"1RXS J160929.1-210524 is a 5 million year old pre-main sequence star in the constellation of Scorpius. The observed planet has a large separation, posing problems for current formation scenarios. Two possibilities are that the planet formed by gravitational instability or migrated outwards. There is evidence that 1RXS 1609 b is surrounded by a dust disc inclined to the line of sight.","['1RXS J160929.1-210524 b', 'GSC 6213-1358 b', '1RXS1609 b']",['Confirmed planets'],<bound method Planet.type of Planet('1RXS1609 b')>,16.0 M_j,,,,,,145.0 pc,2000.0 K,242d22m30s,-21d04m58s,Star('1RXS1609'),Star('1RXS1609')
8,1SWASP J1407 b,"Flags(lculated Temperature', 'Calculated SMA')",System('1SWASP J1407'),,,,,,,,transit,2007,"The light curve of 1SWASP J140747.93-394542.6 underwent a complex series of deep eclipses that lasted 56 days in April 2007. This light curve is interpreted as the transit of a giant ring system that is filling up a fraction of the Hill sphere of an unseen secondary companion, J1407b. The object is currently listed as controversial as various inconsistencies arise in current models and it is not clear that the object really is a planet.","['1SWASP J140747.93-394542.6 b', 'J1407 b', '1SWASP J1407 b']",['Controversial'],<bound method Planet.type of Planet('1SWASP J1407 b')>,14.0 M_j,,,,,0.8,133.0 pc,,211d56m58.95s,-39d45m42.7s,Star('1SWASP J1407'),Star('1SWASP J1407')
9,24 Boo b,Flags(lculated Temperature'),System('24 Boo'),,,,,,,,RV,2018,This planet was discovered by Takarada et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Takarada et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HD 127243 b', 'HIP 70791 b', 'TYC 3475-1198-1 b', 'Gaia DR2 1603662211901473408 b', '24 Boo b']",['Confirmed planets'],<bound method Planet.type of Planet('24 Boo b')>,0.91 M_j,0.19 au,30.3506 d,210.0 deg,,0.042,96.25 pc,1885.261081307382 K,217d09m27.195s,49d50m41.461s,Star('24 Boo'),Star('24 Boo')
10,24 Sex b,Flags(lculated Temperature'),System('24 Sex'),,,,,,,,RV,2010,24 Sextantis is located in the constellation of Sextans. The two planets in the system are in a 2:1 mean motion resonance.,"['24 Sextantis b', 'HD 90043 b', 'TYC 4905-1374-1 b', 'HIP 50887 b', 'Gaia DR2 3830897080395058048 b', '24 Sex b']",['Confirmed planets'],<bound method Planet.type of Planet('24 Sex b')>,1.99 M_j,1.333 au,452.8 d,9.2 deg,2454762,0.09,74.8 pc,503.2514899659467 K,155d52m05.5395s,-0d54m08.0771s,Star('24 Sex'),Star('24 Sex')
11,24 Sex c,Flags(lculated Temperature'),System('24 Sex'),,,,,,,,RV,2010,24 Sextantis is located in the constellation of Sextans. The two planets in the system are in a 2:1 mean motion resonance.,"['24 Sextantis c', 'TYC 4905-1374-1 c', 'HIP 50887 c', 'Gaia DR2 3830897080395058048 c', 'HD 90043 c', '24 Sex c']",['Confirmed planets'],<bound method Planet.type of Planet('24 Sex c')>,0.86 M_j,2.08 au,883.0 d,220.5 deg,2454930,0.29,74.8 pc,402.8732913338048 K,155d52m05.5395s,-0d54m08.0771s,Star('24 Sex'),Star('24 Sex')
12,2M 044144 b,Flags(),System('2M 044144'),,,14.0 au,,,,,imaging,2010,"2M 044144 b is the lowest-mass member of the quadruple system 2M0441+2301. Despite having a mass below the deuterium-fusion limit, the low mass ratio between 2M 044144 A and B suggests it likely formed by turbulent fragmentation rather than core accretion.","['2M 044144 B', '2MASS J04414489+2301513 B', '2M0441+2301 Bb', '2M 044144 b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('2M 044144 b')>,9.8 M_j,,,,,,145.0 pc,1800.0 K,,,Star('2M 044144'),Star('2M 044144')
13,2M 0746+20 b,Flags(lculated Temperature'),System('2M 0746+20'),0.97 R_j,138.2 deg,,,,,,imaging,2010,,"['2MASS J07464256+2000321 B', '2M 0746+20 b']",['Confirmed planets'],<bound method Planet.type of Planet('2M 0746+20 b')>,30.0 M_j,2.897 au,,,,0.487,12.21 pc,19.899016973012316 K,116d40m38.43s,20d00m32.18s,Star('2M 0746+20'),Star('2M 0746+20')
14,2M1207 b,Flags(),System('2M1207'),,,46.0 au,,,,,imaging,2004,"2M1207 might be the first directly imaged extrasolar planet. However, due to its high mass it might also classify as a brown dwarf.","['2MASS J12073346-3932539 b', 'Gaia DR2 3459372646830687104 b', '2M1207 b']",['Confirmed planets'],<bound method Planet.type of Planet('2M1207 b')>,5.0 M_j,,,,,,59.0 pc,1230.0 K,181d53m22.014s,-39d32m54.016s,Star('2M1207'),Star('2M1207')
15,2M 1938+4603 b,Flags(lculated Temperature'),System('2M 1938+4603'),,,,,,,,timing,2015,2M 1938+4603 is an eclipsing post-common envelope binary in the Kepler field. Variations in the timing of the eclipses of the binary star have been used to infer the presence of a giant planet in a circumbinary orbit.,"['2M 1938+4603 (AB) b', 'Kepler-451 b', 'Kepler-451 (AB) b', 'KIC 9472174 b', 'KIC 9472174 (AB) b', '2M 1938+4603 b']","['Confirmed planets', 'Planets in binary systems, P-type']",<bound method Planet.type of Planet('2M 1938+4603 b')>,1.9 M_j,0.92 au,,,,,400.8 pc,,,,Binary('2M 1938+4603'),
16,2M 2140+16 b,Flags(lculated Temperature'),System('2M 2140+16'),0.92 R_j,46.2 deg,,,,,,imaging,2010,,"['2MASS J21402931+1625183 b', '2M 2140+16 b']",['Confirmed planets'],<bound method Planet.type of Planet('2M 2140+16 b')>,20.0 M_j,3.53 au,,,,0.26,25.0 pc,19.931627231939697 K,325d07m15s,16d25m18s,Star('2M 2140+16'),Star('2M 2140+16')
17,2M 2206-20 b,Flags(lculated Temperature'),System('2M 2206-20'),1.3 R_j,44.3 deg,,,,,,imaging,2010,,"['2MASS J22062280-2047058 b', '2M 2206-20 b']",['Confirmed planets'],<bound method Planet.type of Planet('2M 2206-20 b')>,30.0 M_j,4.48 au,,,,0.0,26.67 pc,18.959525793765945 K,331d35m42.03s,-20d47m05.9s,Star('2M 2206-20'),Star('2M 2206-20')
18,2MASS 0122-2439 B,Flags(lculated Temperature'),System('2MASS 0122-2439'),,,52.0 au,,,,,imaging,2013,"2MASS 0122-2439 B is an L-dwarf companion to the star 2MASS J01225093-2439505. The age and luminosity of the object gives a dual-valued prediction for the mass, either in the range 12–13 or 22–27 Jupiter masses, assuming the system is a member of the AB Doradus moving group.","['2MASS J01225093-2439505 B', '2MASS 0122-2439 B']",['Confirmed planets'],<bound method Planet.type of Planet('2MASS 0122-2439 B')>,27.0 M_j,,,,,,36.0 pc,nan K,20d42m44.07s,-24d39m50.65s,Star('2MASS J01225093-2439505 A'),Star('2MASS J01225093-2439505 A')
19,2MASS J01033563-5515561 A b,Flags(lculated Temperature'),System('2MASS J01033563-5515561 A'),,,,,,,,imaging,2013,This planet was discovered by Delorme et al. 2013. This was a ground based discovery. The parameters listed here are those reported by Delorme et al. 2013 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,['2MASS J01033563-5515561 A b'],['Confirmed planets'],<bound method Planet.type of Planet('2MASS J01033563-5515561 A b')>,13.0 M_j,84.0 au,,,,,47.2 pc,,15d54m00s,-55d15m56s,Star('2MASS J01033563-5515561 A'),Star('2MASS J01033563-5515561 A')
20,2MASS J0219-3925 B,Flags(),System('2MASS J0219-3925'),1.44 R_j,,156.0 au,,,,,imaging,2015,2MASS J0219-3925 B is a low-mass L-type companion to an M-dwarf in the Tucana-Horologium association. The mass is close to the deuterium-burning limit.,"['2MASS J02192210-3925225 B', '2MASS J0219-3925 B']",['Confirmed planets'],<bound method Planet.type of Planet('2MASS J0219-3925 B')>,13.9 M_j,,,,,,39.4 pc,1683.0 K,34d50m31.5s,-39d25m22.5s,Star('2MASS J0219-3925'),Star('2MASS J0219-3925')
21,2MASS J02495639-0557352 c,Flags(lculated Temperature'),System('2MASS J02495639-0557352'),,,1950.0 au,,,,,imaging,2018,"2MASS J0249-0557 c is a wide-separation, planetary-mass companion to a low-mass binary system of brown dwarfs in the Beta Pictoris Moving Group. The object appears to be a near-twin of the planet Beta Pictoris b.","['2MASS J0249-0557 c', '2MASS J02495639-0557352 c']","['Confirmed planets', 'Planets in binary systems, P-type']",<bound method Planet.type of Planet('2MASS J02495639-0557352 c')>,11.6 M_j,,,,,,48.9 pc,,,,Binary('2MASS J02495639-0557352'),
22,2MASS J22362452+4751425 b,Flags(lculated Temperature'),System('2MASS J22362452+4751425'),,,,,,,,imaging,2016,This planet was discovered by Bowler et al. 2017. This was a ground based discovery. The parameters listed here are those reported by Bowler et al. 2017 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['Gaia DR2 1986772848034988544 b', '2MASS J22362452+4751425 b']",['Confirmed planets'],<bound method Planet.type of Planet('2MASS J22362452+4751425 b')>,12.5 M_j,230.0 au,,,,,74.0 pc,,339d06m07.881s,47d51m42.5312s,Star('2MASS J22362452+4751425'),Star('2MASS J22362452+4751425')
23,30 Ari B b,Flags(lculated Temperature'),System('30 Ari'),,,,,,,,RV,2009,,"['30 Arietis B b', '30 Ari B b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('30 Ari B b')>,6.6 M_j,1.01 au,345.4 d,337.0 deg,245322.1,0.18,45.2 pc,349.8535942644001 K,,,Star('30 Ari B'),Star('30 Ari B')
24,38 Vir b,Flags(lculated Temperature'),System('38 Vir'),,,,,,,,,2016,Data for this planet was imported from the exoplanet.eu database.,"['TYC 4953-1222-1 b', 'Gaia DR2 3679242575447826432 b', 'HIP 62875 b', 'HD 111998 b', 'GJ 9421 b', '38 Vir b']",['Confirmed planets'],<bound method Planet.type of Planet('38 Vir b')>,4.51 M_j,1.82 au,,,,0.03,33.3 pc,301.33929211376955 K,193d17m47.346s,-3d33m11.1481s,Star('38 Vir'),Star('38 Vir')
25,42 Dra b,Flags(lculated Temperature'),System('42 Dra'),,,,,,,,RV,2009,42 Draconis is a metal poor star.,"['42 Draconis b', 'HD 170693 b', 'Gaia DR2 2256800156348230400 b', 'TYC 4222-2311-1 b', 'HIP 90344 b', 'Fafnir b', '42 Dra b']",['Confirmed planets'],<bound method Planet.type of Planet('42 Dra b')>,3.88 M_j,1.19 au,479.1 d,218.7 deg,2452757.4,0.38,96.5 pc,930.433484041739 K,276d29m47.0601s,65d33m48.5288s,Star('42 Dra'),Star('42 Dra')
26,47 UMa b,Flags(lculated Temperature'),System('47 UMa'),,,,,,,,RV,1996,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,"['47 Ursae Majoris b', 'HD 95128 b', 'HR 4277 b', 'TYC 3009-2703-1 b', 'GJ 407 b', 'Chalawan b', 'Gaia DR2 777254360337133312 b', 'HIP 53721 b', '47 UMa b']",['Confirmed planets'],<bound method Planet.type of Planet('47 UMa b')>,2.53 M_j,2.1 au,1078.0 d,334.0 deg,2451888,0.032,14.063 pc,230.21278279471585 K,164d51m59.5923s,40d25m48.9202s,Star('47 UMa'),Star('47 UMa')
27,47 UMa c,Flags(lculated Temperature'),System('47 UMa'),,,,,,,,RV,2001,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,"['47 Ursae Majoris c', 'HD 95128 c', 'HR 4277 c', 'TYC 3009-2703-1 c', 'GJ 407 c', 'Chalawan c', 'Gaia DR2 777254360337133312 c', 'HIP 53721 c', '47 UMa c']",['Confirmed planets'],<bound method Planet.type of Planet('47 UMa c')>,0.54 M_j,3.6 au,2391.0 d,295.0 deg,2452441,0.098,14.063 pc,175.8279171838688 K,164d51m59.5923s,40d25m48.9202s,Star('47 UMa'),Star('47 UMa')
28,47 UMa d,Flags(lculated Temperature'),System('47 UMa'),,,,,,,,RV,2010,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,"['47 Ursae Majoris d', 'HD 95128 d', 'HR 4277 d', 'TYC 3009-2703-1 d', 'GJ 407 d', 'Chalawan d', 'Gaia DR2 777254360337133312 d', 'HIP 53721 d', '47 UMa d']",['Confirmed planets'],<bound method Planet.type of Planet('47 UMa d')>,1.64 M_j,11.6 au,14002.0 d,110.0 deg,2451736,0.16,14.063 pc,97.95127362727555 K,164d51m59.5923s,40d25m48.9202s,Star('47 UMa'),Star('47 UMa')
29,4 UMa b,Flags(),System('4 UMa'),,,,,,,,RV,2007,"4 Ursae Majoris is also known as Muscida, a name that is shared with 3 Ursae Majoris and Omicron Ursae Majoris.","['4 Ursae Majoris b', 'pi.02 UMa b', 'Pi-2 Ursae Majoris b', 'π2 Ursae Majoris b', 'HD 73108 b', 'HIP 42527 b', 'TYC 4130-2355-1 b', 'SAO 14616 b', 'BD+64 698 b', 'HR 3404 b', '2MASS J08401279+6419405 b', 'Gaia DR2 1092230803510960640 b', '4 UMa b']",['Confirmed planets'],<bound method Planet.type of Planet('4 UMa b')>,7.1 M_j,0.87 au,269.3 d,23.81 deg,2452987.3936,0.432,78.5 pc,877.3 K,130d03m12.265s,64d19m40.57s,Star('4 UMa'),Star('4 UMa')
30,51 Eri b,Flags(),System('51 Eri'),1.0 R_j,138.0 deg,,,,,75,imaging,2015,51 Eri b is a directly-imaged exoplanet located at a projected separation of 13.2 AU from its star. The system also exhibits an infrared excess indicating the presence of debris belts at around 5.5 AU and 82 AU from the star. It is a member of the Beta Pictoris moving group.,"['51 Eridani b', '51 Eri b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('51 Eri b')>,2.0 M_j,14.0 au,15000.0 d,90.0 deg,2456947,0.21,29.4 pc,700.0 K,,,Star('51 Eri'),Star('51 Eri')
31,51 Peg b,Flags(),System('51 Peg'),1.6 R_j,80.0 deg,,,,,,RV,1995,51 Pegasi is a Sun-like star in the constellation Pegasus. The planet is also called Bellerophon. The lower limit for the radius is given for the limit of a perfectly-reflecting Lambert sphere.,"['Bellerophon', 'TYC 1717-2193-1 b', 'Helvetios b', 'GJ 882 b', 'Gaia DR2 2835207319109249920 b', 'HIP 113357 b', 'HD 217014 b', '51 Peg b']",['Confirmed planets'],<bound method Planet.type of Planet('51 Peg b')>,0.46 M_j,0.052 au,4.231 d,0.0 deg,2456021.256,0.0,14.7 pc,1260.3 K,344d21m59.706s,20d46m07.7822s,Star('51 Peg'),Star('51 Peg')
32,55 Cancri b,Flags(lculated Temperature'),System('55 Cancri'),,,,,2455495.587 JD,,,RV,1996,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,"['55 Cnc b', 'rho01 Cancri b', 'rho01 Cnc b', 'Rho¹ Cancri b', 'Rho¹ Cnc b', 'Rho-1 Cancri b', 'Rho-1 Cnc b', 'ρ1 Cancri b', 'ρ1 Cnc b', 'ρ¹ Cancri b', 'ρ¹ Cnc b', 'HR 3522 b', '55 Cancri A b', '55 Cnc A b', 'rho01 Cancri A b', 'rho01 Cnc A b', 'Rho¹ Cancri A b', 'Rho¹ Cnc A b', 'Rho-1 Cancri A b', 'Rho-1 Cnc A b', 'ρ1 Cancri A b', 'ρ1 Cnc A b', 'ρ¹ Cancri A b', 'ρ¹ Cnc A b', '55 Cancri b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('55 Cancri b')>,0.8036 M_j,0.1134 au,14.6516 d,-21.5 deg,,0.0,12.5901 pc,767.9096199521034 K,,,Star('55 Cancri A'),Star('55 Cancri A')
33,55 Cancri c,Flags(lculated Temperature'),System('55 Cancri'),,,,,2455492.02 JD,,,RV,2002,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,"['55 Cnc c', 'rho01 Cancri c', 'rho01 Cnc c', 'Rho¹ Cancri c', 'Rho¹ Cnc c', 'Rho-1 Cancri c', 'Rho-1 Cnc c', 'ρ1 Cancri c', 'ρ1 Cnc c', 'ρ¹ Cancri c', 'ρ¹ Cnc c', 'HR 3522 c', '55 Cancri A c', '55 Cnc A c', 'rho01 Cancri A c', 'rho01 Cnc A c', 'Rho¹ Cancri A c', 'Rho¹ Cnc A c', 'Rho-1 Cancri A c', 'Rho-1 Cnc A c', 'ρ1 Cancri A c', 'ρ1 Cnc A c', 'ρ¹ Cancri A c', 'ρ¹ Cnc A c', '55 Cancri c']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('55 Cancri c')>,0.1611 M_j,0.2373 au,44.3989 d,2.4 deg,,0.03,12.5901 pc,530.8450431236317 K,,,Star('55 Cancri A'),Star('55 Cancri A')
34,55 Cancri d,Flags(lculated Temperature'),System('55 Cancri'),,,,,2456669.3 JD,,,RV,2002,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,"['55 Cnc d', 'rho01 Cancri d', 'rho01 Cnc d', 'Rho¹ Cancri d', 'Rho¹ Cnc d', 'Rho-1 Cancri d', 'Rho-1 Cnc d', 'ρ1 Cancri d', 'ρ1 Cnc d', 'ρ¹ Cancri d', 'ρ¹ Cnc d', 'HR 3522 d', '55 Cancri A d', '55 Cnc A d', 'rho01 Cancri A d', 'rho01 Cnc A d', 'Rho¹ Cancri A d', 'Rho¹ Cnc A d', 'Rho-1 Cancri A d', 'Rho-1 Cnc A d', 'ρ1 Cancri A d', 'ρ1 Cnc A d', 'ρ¹ Cancri A d', 'ρ¹ Cnc A d', '55 Cancri d']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('55 Cancri d')>,3.12 M_j,5.957 au,5574.2 d,-69.1 deg,,0.13,12.5901 pc,105.95045727977795 K,,,Star('55 Cancri A'),Star('55 Cancri A')
35,55 Cancri e,Flags(),System('55 Cancri'),0.16728 R_j,83.59 deg,,,2457063.2096 JD,,,transit,2004,"55 Cancri e is a super-Earth which appears to exhibit extreme variations in brightness temperature. The cause of these variations is unknown but may be due to large-scale volcanic activity on the planet. The latest estimates of the planetary radius are compatible with a rocky composition, but a thick water envelope or a carbon-rich composition cannot be ruled out. The phase curve indicates that heat is being transported to the night side by an atmosphere, likely dominated by carbon monoxide or nitrogen.","['55 Cnc e', 'rho01 Cancri e', 'rho01 Cnc e', 'Rho¹ Cancri e', 'Rho¹ Cnc e', 'Rho-1 Cancri e', 'Rho-1 Cnc e', 'ρ1 Cancri e', 'ρ1 Cnc e', 'ρ¹ Cancri e', 'ρ¹ Cnc e', 'HR 3522 e', '55 Cancri A e', '55 Cnc A e', 'rho01 Cancri A e', 'rho01 Cnc A e', 'Rho¹ Cancri A e', 'Rho¹ Cnc A e', 'Rho-1 Cancri A e', 'Rho-1 Cnc A e', 'ρ1 Cancri A e', 'ρ1 Cnc A e', 'ρ¹ Cancri A e', 'ρ¹ Cnc A e', '55 Cancri e']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('55 Cancri e')>,0.0251 M_j,0.01544 au,0.7365474 d,86.0 deg,,0.05,12.5901 pc,3016.0 K,,,Star('55 Cancri A'),Star('55 Cancri A')
36,55 Cancri f,Flags(lculated Temperature'),System('55 Cancri'),,,,,2455491.5 JD,,,RV,2007,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,"['55 Cnc f', 'rho01 Cancri f', 'rho01 Cnc f', 'Rho¹ Cancri f', 'Rho¹ Cnc f', 'Rho-1 Cancri f', 'Rho-1 Cnc f', 'ρ1 Cancri f', 'ρ1 Cnc f', 'ρ¹ Cancri f', 'ρ¹ Cnc f', 'HR 3522 f', '55 Cancri A f', '55 Cnc A f', 'rho01 Cancri A f', 'rho01 Cnc A f', 'Rho¹ Cancri A f', 'Rho¹ Cnc A f', 'Rho-1 Cancri A f', 'Rho-1 Cnc A f', 'ρ1 Cancri A f', 'ρ1 Cnc A f', 'ρ¹ Cancri A f', 'ρ¹ Cnc A f', '55 Cancri f']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('55 Cancri f')>,0.1503 M_j,0.7708 au,259.88 d,-97.6 deg,,0.08,12.5901 pc,294.54101732737485 K,,,Star('55 Cancri A'),Star('55 Cancri A')
37,61 Vir b,Flags(lculated Temperature'),System('61 Vir'),,,,,,,,RV,2009,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,"['Gaia DR2 3507879565090229888 b', 'HIP 64924 b', 'TYC 6116-1517-1 b', 'HD 115617 b', 'GJ 506 b', '61 Vir b']",['Confirmed planets'],<bound method Planet.type of Planet('61 Vir b')>,0.016 M_j,0.050201 au,4.215 d,105.0 deg,,0.12,8.52 pc,1179.794245160293 K,199d36m04.714s,-18d18m40.3047s,Star('61 Vir'),Star('61 Vir')
38,61 Vir c,Flags(lculated Temperature'),System('61 Vir'),,,,,,,,RV,2009,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,"['Gaia DR2 3507879565090229888 c', 'HIP 64924 c', 'TYC 6116-1517-1 c', 'HD 115617 c', 'GJ 506 c', '61 Vir c']",['Confirmed planets'],<bound method Planet.type of Planet('61 Vir c')>,0.0573 M_j,0.2175 au,38.021 d,341.0 deg,,0.14,8.52 pc,603.5579076523966 K,199d36m04.714s,-18d18m40.3047s,Star('61 Vir'),Star('61 Vir')
39,61 Vir d,Flags(lculated Temperature'),System('61 Vir'),,,,,,,,RV,2009,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,"['Gaia DR2 3507879565090229888 d', 'HIP 64924 d', 'TYC 6116-1517-1 d', 'HD 115617 d', 'GJ 506 d', '61 Vir d']",['Confirmed planets'],<bound method Planet.type of Planet('61 Vir d')>,0.0721 M_j,0.476 au,123.01 d,314.0 deg,,0.35,8.52 pc,407.9858478298604 K,199d36m04.714s,-18d18m40.3047s,Star('61 Vir'),Star('61 Vir')
40,6 Lyn b,Flags(lculated Temperature'),System('6 Lyn'),,2.0 deg,,,,,75.5,RV,2008,"The star 6 Lyncis is a subgiant and 15 times more luminous than our Sun. The astrometric signature of the planet gives a best-fit inclination of 2 degrees, which would imply the object is a brown dwarf with 64 times the mass of Jupiter. Nevertheless, the error bars are large and allow for masses between 2.2 and 128.7 Jupiter masses, a range that incorporates both planetary and stellar masses.","['6 Lyncis b', 'HD 45410 b', 'Gaia DR2 1004358968092652544 b', 'TYC 3777-2071-1 b', 'HIP 31039 b', '6 Lyn b']",['Confirmed planets'],<bound method Planet.type of Planet('6 Lyn b')>,2.21 M_j,2.18 au,874.774 d,314.9 deg,2454024.5,0.059,55.8 pc,395.8499461684271 K,97d41m46.6195s,58d09m45.4809s,Star('6 Lyn'),Star('6 Lyn')
