,spectral_type,temp,metallicity,altnames,mass,magUltraviolet,magBlue,magH_nearinfared,magInfared,magJ_nearinfared,magK_nearinfared,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,parent_obj,child_obj,list,planet1type,planet2type,planet3type,planet4type,planet5type,planet6type,planet7type,planet8type,planet9type,proper,flags,system,radius,age,hip,hd,hr,gl
805,K0 III,5052.0 K,0.05,"['HIP 23844', 'TYC 5342-891-1', 'BD-14 1051', '2MASS J05073553-1359113', 'SAO 150161', 'Gaia DR2 2986948238799721216']",1.62 M_s,,8.905,5.903,,6.345,5.792,8.13,,,,116.0 pc,,76d53m53.121s,-13d59m11.3362s,System('HD 33142'),"[Planet('HD 33142 b'), Planet('HD 33142 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 33142,Flags(),System('HD 33142'),4.2 R_s,,3844.0,3142.0,,
806,F8,6089.0 K,0.036,"['Gaia DR2 2056007995732413312', 'TYC 2689-70-1']",1.13 M_s,,,7.3,,7.509,7.242,8.56,,,,80.85 pc,,306d44m28.7685s,33d44m40.0246s,System('HD 332231'),[Planet('HD 332231 b')],[],Warm Jupiter,,,,,,,,,HD 332231,Flags(),System('HD 332231'),1.28 R_s,,,32231.0,,
807,G3V,5995.0 K,0.366,"['Gaia DR2 2955981936912654592', 'HIP 23889', 'TYC 6481-1002-1']",1.24 M_s,,8.64,6.729,,6.983,6.646,8.05,,,,86.0 pc,,77d00m15.183s,-26d47m50.894s,System('HD 33283'),[Planet('HD 33283 b')],[],Cold Jupiter,,,,,,,,,HD 33283,Flags(),System('HD 33283'),1.2 R_s,,3889.0,3283.0,,
808,F6 V,6250.0 K,-0.12,"['TYC 4532-2096-1', 'Gaia DR2 553480551264062848', 'HIP 25110', 'GJ 196']",1.25 M_s,,5.547,4.201,4.6,4.416,3.911,5.08,,,,20.98 pc,,80d38m22.935s,79d13m52.1426s,System('HD 33564'),[Planet('HD 33564 b')],[],Cold Jupiter,,,,,,,,,HD 33564,Flags(),System('HD 33564'),1.1 R_s,,5110.0,3564.0,,GJ 196
809,K0 III,4861.0 K,0.27,"['HIP 24275', 'TYC 5342-401-1', 'SAO 150228', 'BD-15 971', '2MASS J05123609-1457039', 'Gaia DR2 2986593268342544768']",1.78 M_s,,8.33,5.132,,5.574,4.945,7.29,,,,100.9 pc,,78d09m01.5145s,-14d57m04.0084s,System('HD 33844'),"[Planet('HD 33844 b'), Planet('HD 33844 c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 33844,Flags(),System('HD 33844'),5.29 R_s,1.88 Gyr,4275.0,3844.0,,
810,G0 V,5836.0 K,0.14,"['HIP 24681', 'TYC 112-182-1', 'SAO 112601', 'BD+07 855', 'Gaia DR2 3241295308714904960']",1.07 M_s,,7.97,5.848,,6.122,5.79,7.33,,,,45.37 pc,,79d25m14.706s,7d21m12.0547s,System('HD 34445'),"[Planet('HD 34445 b'), Planet('HD 34445 c'), Planet('HD 34445 d'), Planet('HD 34445 e'), Planet('HD 34445 f'), Planet('HD 34445 g')]",[],Cold Jupiter,Cold Jupiter,Cold Jupiter,Cold Neptune,Cold Jupiter,Cold Jupiter,,,,HD 34445,Flags(),System('HD 34445'),1.38 R_s,8.5 Gyr,4681.0,4445.0,,
811,G0,6060.0 K,0.04,"['HIP 25883', 'TYC 4089-1222-1', 'BD+64 532', '2MASS J05313334+6419075', 'SAO 13524', 'Gaia DR2 287622247440034688']",1.15 M_s,,8.33,6.388,,6.606,6.319,7.74,,,,70.9 pc,,82d53m20.238s,64d19m07.59s,System('HD 35759'),[Planet('HD 35759 b')],[],None Jupiter,,,,,,,,,HD 35759,Flags(),System('HD 35759'),,,5883.0,5759.0,,
812,K0 V,5173.0 K,0.05,"['TYC 1193-2072-1', 'Gaia DR2 2802397960855105920', 'HIP 3093', 'GJ 27']",0.79 M_s,,6.72,4.064,4.9,4.549,3.999,5.8,,,,11.0 pc,,9d50m27.0825s,21d15m01.716s,System('HD 3651'),"[Planet('HD 3651 b'), Planet('HD 3651.02')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,HD 3651,Flags(),System('HD 3651'),0.947 R_s,,93.0,651.0,,GJ 27
813,G4 V,5610.0 K,-0.442,"['TYC 1310-2544-1', 'Gaia DR2 3402798414192387328', 'HIP 26381', 'GJ 209']",0.83 M_s,,8.35,6.021,6.9,6.359,5.952,7.68,,,,33.0 pc,,84d15m37.299s,20d43m50.8346s,System('HD 37124'),"[Planet('HD 37124 b'), Planet('HD 37124 c'), Planet('HD 37124 d')]",[],Cold Jupiter,Cold Jupiter,Cold Jupiter,,,,,,,HD 37124,Flags(),System('HD 37124'),0.82 R_s,,6381.0,7124.0,,GJ 209
814,K0V,5448.0 K,0.39,"['HIP 26664', 'TYC 127-402-1', 'BD+05 985', '2MASS J05400172+0603381', 'SAO 113015', 'Gaia DR2 3332911492327546368']",1.0 M_s,,9.52,6.92,7.7,7.27,6.82,8.69,,,,46.34 pc,,85d00m25.923s,6d03m38.0743s,System('HD 37605'),"[Planet('HD 37605 b'), Planet('HD 37605 c')]",[],None Jupiter,None Jupiter,,,,,,,,HD 37605,Flags(),System('HD 37605'),,,6664.0,7605.0,,
